Year,Value,SERIES,UNIT_MEASURE
2015,7.8,Food insecurity (moderate and extreme),Percent
2015,1.4,Extreme food insecurity,Percent
2016,7.8,Food insecurity (moderate and extreme),Percent
2016,1.4,Extreme food insecurity,Percent
2017,7.8,Food insecurity (moderate and extreme),Percent
2017,1.4,Extreme food insecurity,Percent
2018,4.2,Food insecurity (moderate and extreme),Percent
2018,1.7,Extreme food insecurity,Percent
2019,5.3,Food insecurity (moderate and extreme),Percent
2019,1.9,Extreme food insecurity,Percent
2020,5.1,Food insecurity (moderate and extreme),Percent
2020,1.9,Extreme food insecurity,Percent
2021,5.2,Food insecurity (moderate and extreme),Percent
2021,1.9,Extreme food insecurity,Percent
2022,1.7,Food insecurity (moderate and extreme),Percent
2022,0.7,Extreme food insecurity,Percent
