Year,Value,SERIES,UNIT_MEASURE
2010,12317.8,Proportion of forest area within legally established protected areas [15.2.1],thousands hectares
2010,380.7,Above-ground biomass in forest (tonnes) [15.2.1],M_METER3
2010,24.0,_L_KZ_150201_1B,Percent
2010,100.0,_L_KZ_150201_1A,thousands hectares
2010,12317.8,Proportion of forest area with a long-term management plan [15.2.1],thousands hectares
2011,12452.0,Proportion of forest area within legally established protected areas [15.2.1],thousands hectares
2011,380.7,Above-ground biomass in forest (tonnes) [15.2.1],M_METER3
2011,134.20000000000073,_L_KZ_150201_1B,Percent
2011,100.0,_L_KZ_150201_1A,thousands hectares
2011,12452.0,Proportion of forest area with a long-term management plan [15.2.1],thousands hectares
2012,12548.6,Proportion of forest area within legally established protected areas [15.2.1],thousands hectares
2012,412.2,Above-ground biomass in forest (tonnes) [15.2.1],M_METER3
2012,96.60000000000036,_L_KZ_150201_1B,Percent
2012,100.0,_L_KZ_150201_1A,thousands hectares
2012,12548.6,Proportion of forest area with a long-term management plan [15.2.1],thousands hectares
2013,12593.9,Proportion of forest area within legally established protected areas [15.2.1],thousands hectares
2013,412.2,Above-ground biomass in forest (tonnes) [15.2.1],M_METER3
2013,45.29999999999927,_L_KZ_150201_1B,Percent
2013,100.0,_L_KZ_150201_1A,thousands hectares
2013,12593.9,Proportion of forest area with a long-term management plan [15.2.1],thousands hectares
2014,12627.0,Proportion of forest area within legally established protected areas [15.2.1],thousands hectares
2014,412.2,Above-ground biomass in forest (tonnes) [15.2.1],M_METER3
2014,33.100000000000364,_L_KZ_150201_1B,Percent
2014,100.0,_L_KZ_150201_1A,thousands hectares
2014,12627.0,Proportion of forest area with a long-term management plan [15.2.1],thousands hectares
2015,12652.4,Proportion of forest area within legally established protected areas [15.2.1],thousands hectares
2015,412.2,Above-ground biomass in forest (tonnes) [15.2.1],M_METER3
2015,25.39999999999964,_L_KZ_150201_1B,Percent
2015,100.0,_L_KZ_150201_1A,thousands hectares
2015,12652.4,Proportion of forest area with a long-term management plan [15.2.1],thousands hectares
2016,12706.8,Proportion of forest area within legally established protected areas [15.2.1],thousands hectares
2016,412.2,Above-ground biomass in forest (tonnes) [15.2.1],M_METER3
2016,54.39999999999964,_L_KZ_150201_1B,Percent
2016,100.0,_L_KZ_150201_1A,thousands hectares
2016,12706.8,Proportion of forest area with a long-term management plan [15.2.1],thousands hectares
2017,12903.5,Proportion of forest area within legally established protected areas [15.2.1],thousands hectares
2017,421.8,Above-ground biomass in forest (tonnes) [15.2.1],M_METER3
2017,196.70000000000076,_L_KZ_150201_1B,Percent
2017,100.0,_L_KZ_150201_1A,thousands hectares
2017,12903.5,Proportion of forest area with a long-term management plan [15.2.1],thousands hectares
2018,12933.1,_L_KZ_150201_1A,thousands hectares
2018,428.6,Above-ground biomass in forest (tonnes) [15.2.1],M_METER3
2018,29.600000000000364,_L_KZ_150201_1B,Percent
2018,12933.1,Proportion of forest area within legally established protected areas [15.2.1],thousands hectares
2018,12933.1,Proportion of forest area with a long-term management plan [15.2.1],thousands hectares
2019,13121.8,_L_KZ_150201_1A,thousands hectares
2019,435.8,Above-ground biomass in forest (tonnes) [15.2.1],M_METER3
2019,188.6999999999989,_L_KZ_150201_1B,Percent
2019,13121.8,Proportion of forest area within legally established protected areas [15.2.1],thousands hectares
2019,13121.8,Proportion of forest area with a long-term management plan [15.2.1],thousands hectares
