Value,ru,kk,en,Disaggregation combinations using this value,Number of indicators
_L_BI_CIT,Корпоративный подоходный налог,Корпорациялық табыс салығы,Corporate Income Tax,2,2
_L_BI_CLT,Единый земельный налог,Бірыңғай жер салығы,Consolidated Land Tax,1,1
_L_BI_ET,Акцизы,Акциздер,Excise taxes,1,1
_L_BI_GBT,Налог на игорный бизнес,Ойын бизнесіне салық,Gambling tax,1,1
_L_BI_GOVT,Государственная пошлина,Мемлекеттік баж,Government tariffs,1,1
_L_BI_IIT,Индивидуальный подоходный налог,Жеке табыс салығы,Individual Income Tax,1,1
_L_BI_ITFOT,Налоги на международную торговлю и внешние операции,Халықаралық сауда мен сыртқы операцияларға салынатын салықтар,Taxes related to international trade and foreign operations,1,1
_L_BI_LT,Земельный налог,Жер салығы,Land Taxes,1,1
_L_BI_PT,Hалоги на имущество,Меншiкке салынатын салықтар,Property Taxes,1,1
_L_BI_RFT,Сборы за регистрацию,Тіркелген салық,Registration fees,1,1
_L_BI_RRT,Поступления за использование природных и других ресурсов,Табиғи және басқа да ресурстарды пайдаланғаны үшiн түсетiн түсiмдер,Royalties related to use of resources,2,2
_L_BI_SST,Социальный налог,Әлеуметтік салық,Social Security Taxes,1,1
_L_BI_VAT,Налог на добавленную стоимость,Қосылған құн салығы,Value added tax,1,1
_L_BI_VT,Hалог на транспортные средства,Көлiк құралдарына салынатын салық,Vehicle Tax,1,1
_L_BUD_EXP_CSTIS,"Культура, спорт, туризм и информационное пространство","Мәдениет, спорт, туризм және ақпараттық кеңістiк","Culture, sport, tourism, informational space",1,1
_L_BUD_EXP_DBS,Обслуживание долга,Борышқа қызмет көрсету,Debt service,1,1
_L_BUD_EXP_DEF,Оборона,Қорғаныс,Defence,1,1
_L_BUD_EXP_EDU,Образование,Білім беру,Education,1,1
_L_BUD_EXP_FES_SR,Топливно-энергетический комплекс недропользования,Отын-энергетика кешенi және жер қойнауын пайдалану,Fuel and energy systems based on subsurface resources,1,1
_L_BUD_EXP_GOVS,Государственные услуги общего характера,Жалпы сипаттағы мемлекеттiк қызметтер,Government services (general),1,1
_L_BUD_EXP_HC,Здравоохранение,Денсаулық сақтау,Health care,1,1
_L_BUD_EXP_HCS,Жилищно-комунальная хозяйство,Тұрғын үй-коммуналдық шаруашылық,Housing and communal services,1,1
_L_BUD_EXP_OTH,Прочие,Басқалар,Other,1,1
_L_BUD_EXP_PSLJ_CEA,"Общественный порядок, безопасность, провавая, судебная, уголовно-исполнительская деятельность",_L_BUD_EXP_PSLJ_CEA,_L_BUD_EXP_PSLJ_CEA,1,1
_L_BUD_EXP_RWFFSP,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения","Ауыл, су, орман, балық шаруашылығы, ерекше қорғалатын табиғи аумақтар, қоршаған ортаны және жануарлар дүниесін қорғау, жер қатынастары","Rural services, water services, forestry, fisheries, specially protected natural areas, environmental protection and wildlife, land relations",1,1
_L_BUD_EXP_SAW,Социальная помощь и социальное обеспечение,Әлеуметтiк көмек және әлеуметтiк қамсыздандыру,Social assistance and welfare,1,1
_L_BUD_EXP_TA,Транспорт и коммуникация,Көлiк және коммуникация,Transportion and communication,1,1
_L_BUD_EXP_TRS,Трансферты,Трансферттер,Transfers,1,1
_L_HLTH_IMBD_ALH,Заболеваемость психическими и поведенческими расстройствами в результате употребления алкоголя,Алкогольді ішу нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,Incidence of mental and behavioral disorders as a result of alcohol use,1,1
_L_HLTH_IMBD_DRG,Заболеваемость психическими и поведенческими расстройствами в результате употребления наркотических веществ,Есірткі қолдану нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,Incidence of mental and behavioral disorders as a result of drug use,1,1
_L_HLTH_IMBD_SUBS,"Заболеваемость психическими и поведенческими расстройствами, вследствии употребления психоактивных веществ",_L_HLTH_IMBD_SUBS,_L_HLTH_IMBD_SUBS,1,1
_L_HLTH_NUM_DOC,Обеспеченность врачами (без зубных),_L_HLTH_NUM_DOC,_L_HLTH_NUM_DOC,1,1
_L_HLTH_PRV_DENT,Обеспеченность стоматологами на 1 000 населения (включая зубных техников),_L_HLTH_PRV_DENT,_L_HLTH_PRV_DENT,1,1
_L_HLTH_PRV_MEDW,Обеспеченность средними медицинскими работниками на 1 000 населения,_L_HLTH_PRV_MEDW,_L_HLTH_PRV_MEDW,1,1
_L_HLTH_PRV_PHMT,Обеспеченность фармацевтическими работниками на 1 000 населения (включая провизоров),_L_HLTH_PRV_PHMT,_L_HLTH_PRV_PHMT,1,1
_L_IND_BUILD,"Промышленность, архитектураная, градостраительная и строительная деятельность",_L_IND_BUILD,_L_IND_BUILD,1,1
_L_ODA_DNR,Данные по Казахстану как донору,Донор ретінде Қазақстан бойынша деректер,Kazakhstan as donor,6,6
_L_ODA_DNR_GR,Казахстан-донор (валовый),_L_ODA_DNR_GR,_L_ODA_DNR_GR,1,1
_L_ODA_DNR_NT,Казахстан-донор (чистый),_L_ODA_DNR_NT,_L_ODA_DNR_NT,1,1
_L_ODA_RCP,Данные по Казахстану как получателю,Алушы ретінде Қазақстан бойынша деректер,Kazakhstan as beneficiary,6,6
_L_ODA_RCP_GR,Казахстан-получатель (валовый),_L_ODA_RCP_GR,_L_ODA_RCP_GR,1,1
_L_ODA_RCP_NT,Казахстан-получатель (чистый),_L_ODA_RCP_NT,_L_ODA_RCP_NT,1,1
_L_PRSP_ARG,архар,Арқар,Argali (latin: Ovis ammon),1,1
_L_PRSP_BCR_DR,тугайный благородный олень,тоғай кермаралы,The Bactrian deer (latin: Cervus elaphus bactrianus),1,1
_L_PRSP_FR_URAL,Уральская популяция,Жайық таралымдары,Species from Ural region,1,1
_L_PRSP_FR_UST,Устюртская популяция,Үстірт таралымдары,Species from Usturts region,1,1
_L_PRSP_GTRG,джейран,Қарақұйрық,Goitered gazelle (latin: Gazella subgutturosa),1,1
_L_PRSP_ONGR,кулан,Құлан,Onager (latin Equus hemionus),1,1
_L_PRSP_SFBR,Бетпакдалинская популяция,Бетпақдала таралымдары,Species from Betpakdalinsk region,1,1
_L_PRSP_TA,виды животных,жануарлардың түрлері,Type of animals,1,1
_L_PRSP_TP,виды растений,өсімдіктердің түрлері,Type of plants,1,1
