Year,UNIT_MEASURE,SERIES,Age,Area,Sex,Regions,Value
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,,4.05
2010,Percent,Rate of deviation from the norm (moderate and strong),,,Male,,4.4
2010,Percent,Rate of deviation from the norm (moderate and strong),,,Female,,3.7
2010,Percent,Rate of deviation from the norm (moderate and strong),,Population of urban areas,,,4.9
2010,Percent,Rate of deviation from the norm (moderate and strong),,Population of rural areas,,,3.3
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Akmola,2.6
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Aktobe,8.6
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Almaty,3.7
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Atyrau,3.2
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Batys Kazakhstan,1.8
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Zhambyl,2.8
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Karagandy,0.4
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Kostanay,0.4
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Kyzylorda,1.3
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Mangistau,4.5
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Ontustik Kazakhstan,5.8
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Pavlodar,2.7
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Soltustik Kazakhstan,1.7
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Shygys Kazakhstan,8.1
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Nur-Sultan city,4.5
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Almaty city,7.8
2010,Percent,Rate of deviation from the norm (moderate and strong),M0T5,,,,13.4
2010,Percent,Rate of deviation from the norm (moderate and strong),M6T11,,,,4.4
2010,Percent,Rate of deviation from the norm (moderate and strong),M12T23,,,,2.1
2010,Percent,Rate of deviation from the norm (moderate and strong),M24T35,,,,2.5
2010,Percent,Rate of deviation from the norm (moderate and strong),36-47 months,,,,2.4
2010,Percent,Rate of deviation from the norm (moderate and strong),48-59 months,,,,4.5
2010,Percent,Strong deviation from the norm,,,,,1.6
