Year,UNIT_MEASURE,Regions,Value
2015,Percent,,30.0
2016,Percent,,35.0
2017,Percent,,39.9
2017,Percent,Akmola,54.95826022225767
2017,Percent,Aktobe,53.36924676306586
2017,Percent,Almaty,12.82121098669208
2017,Percent,Atyrau,13.530506191056647
2017,Percent,Batys Kazakhstan,30.483646925116812
2017,Percent,Zhambyl,12.93305665824612
2017,Percent,Karagandy,50.67817868914622
2017,Percent,Kostanay,33.45689042347923
2017,Percent,Kyzylorda,24.993676968991856
2017,Percent,Mangistau,30.86736146705393
2017,Percent,Ontustik Kazakhstan,55.201664060425465
2017,Percent,Pavlodar,66.51707095381471
2017,Percent,Soltustik Kazakhstan,23.607106315691567
2017,Percent,Shygys Kazakhstan,53.207364675809174
2017,Percent,Nur-Sultan city,44.32732769538751
2017,Percent,Almaty city,36.440745651166885
2018,Percent,,54.0
2018,Percent,Akmola,56.215347945489405
2018,Percent,Aktobe,54.83331694365228
2018,Percent,Almaty,33.60261258164318
2018,Percent,Atyrau,52.6963906581741
2018,Percent,Batys Kazakhstan,72.32874943508295
2018,Percent,Zhambyl,65.80963045912654
2018,Percent,Karagandy,51.13365865270174
2018,Percent,Kostanay,52.7519806915368
2018,Percent,Kyzylorda,17.130737437459214
2018,Percent,Mangistau,39.862902288834675
2018,Percent,Pavlodar,62.47969983759871
2018,Percent,Soltustik Kazakhstan,57.42802303262957
2018,Percent,Turkistan,79.2102206736353
2018,Percent,Shygys Kazakhstan,77.61424985385645
2018,Percent,Nur-Sultan city,36.835670035865654
2018,Percent,Almaty city,49.273416891691504
2018,Percent,Shymkent city,46.65282634032635
2019,Percent,,60.7
2019,Percent,Akmola,61.0
2019,Percent,Aktobe,52.3
2019,Percent,Almaty,45.6
2019,Percent,Atyrau,55.5
2019,Percent,Batys Kazakhstan,58.6
2019,Percent,Zhambyl,77.5
2019,Percent,Karagandy,55.3
2019,Percent,Kostanay,65.2
2019,Percent,Kyzylorda,59.6
2019,Percent,Mangistau,70.1
2019,Percent,Pavlodar,69.0
2019,Percent,Soltustik Kazakhstan,98.4
2019,Percent,Turkistan,74.5
2019,Percent,Shygys Kazakhstan,93.4
2019,Percent,Nur-Sultan city,28.3
2019,Percent,Almaty city,52.7
2019,Percent,Shymkent city,44.0
