Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,units,Type of plants,387
2010,units,Type of animals,224
2011,units,Type of plants,387
2011,units,Type of animals,224
2012,units,Type of plants,387
2012,units,Type of animals,224
2013,units,Type of plants,387
2013,units,Type of animals,224
2014,units,Type of plants,387
2014,units,Type of animals,224
2015,units,Type of plants,387
2015,units,Type of animals,224
2016,units,Type of plants,387
2016,units,Type of animals,224
2017,units,Type of plants,387
2017,units,Type of animals,224
2018,units,Type of plants,387
2018,units,Type of animals,224
2019,units,Type of plants,387
2019,units,Type of animals,224
2020,units,Type of plants,387
2020,units,Type of animals,224
2021,units,Type of plants,387
2021,units,Type of animals,228
2022,units,Type of plants,387
2022,units,Type of animals,228
2023,units,Type of plants,387
2023,units,Type of animals,228
2024,units,Type of plants,387
2024,units,Type of animals,228
2025,units,Type of plants,387
2025,units,Type of animals,228
