Year,UNIT_MEASURE,SERIES,REF_AREA,GeoCode,Value
2010,TH_TNG,_L_KZ_070b01_1A,,,1036774219.0
2011,TH_TNG,_L_KZ_070b01_1A,,,1068226069.0
2012,TH_TNG,_L_KZ_070b01_1A,,,1178397242.0
2013,TH_TNG,_L_KZ_070b01_1A,,,1079560956.0
2014,TH_TNG,_L_KZ_070b01_1A,,,1266723255.0
2015,TH_TNG,_L_KZ_070b01_1A,,,1062565765.0
2016,TH_TNG,_L_KZ_070b01_1A,,,1098257401.0
2017,TH_TNG,_L_KZ_070b01_1A,,,1319919996.0
2018,TH_TNG,_L_KZ_070b01_1A,,,1345936512.0
2010,TH_TNG,_L_KZ_070b01_1A,KZAKM,KZAKM,47296971.0
2011,TH_TNG,_L_KZ_070b01_1A,KZAKM,KZAKM,57739832.0
2012,TH_TNG,_L_KZ_070b01_1A,KZAKM,KZAKM,59799493.0
2013,TH_TNG,_L_KZ_070b01_1A,KZAKM,KZAKM,47226460.0
2014,TH_TNG,_L_KZ_070b01_1A,KZAKM,KZAKM,42151668.0
2015,TH_TNG,_L_KZ_070b01_1A,KZAKM,KZAKM,36150293.0
2016,TH_TNG,_L_KZ_070b01_1A,KZAKM,KZAKM,32312951.0
2017,TH_TNG,_L_KZ_070b01_1A,KZAKM,KZAKM,66853652.0
2018,TH_TNG,_L_KZ_070b01_1A,KZAKM,KZAKM,46583558.0
2010,TH_TNG,_L_KZ_070b01_1A,KZAKT,KZAKT,59033367.0
2011,TH_TNG,_L_KZ_070b01_1A,KZAKT,KZAKT,62509079.0
2012,TH_TNG,_L_KZ_070b01_1A,KZAKT,KZAKT,68020720.0
2013,TH_TNG,_L_KZ_070b01_1A,KZAKT,KZAKT,39996559.0
2014,TH_TNG,_L_KZ_070b01_1A,KZAKT,KZAKT,75205032.0
2015,TH_TNG,_L_KZ_070b01_1A,KZAKT,KZAKT,32144233.0
2016,TH_TNG,_L_KZ_070b01_1A,KZAKT,KZAKT,37371230.0
2017,TH_TNG,_L_KZ_070b01_1A,KZAKT,KZAKT,79182241.0
2018,TH_TNG,_L_KZ_070b01_1A,KZAKT,KZAKT,84296038.0
2010,TH_TNG,_L_KZ_070b01_1A,KZALM,KZALM,89980220.0
2011,TH_TNG,_L_KZ_070b01_1A,KZALM,KZALM,59069553.0
2012,TH_TNG,_L_KZ_070b01_1A,KZALM,KZALM,91783204.0
2013,TH_TNG,_L_KZ_070b01_1A,KZALM,KZALM,97770402.0
2014,TH_TNG,_L_KZ_070b01_1A,KZALM,KZALM,127617723.0
2015,TH_TNG,_L_KZ_070b01_1A,KZALM,KZALM,119605523.0
2016,TH_TNG,_L_KZ_070b01_1A,KZALM,KZALM,163436880.0
2017,TH_TNG,_L_KZ_070b01_1A,KZALM,KZALM,135083761.0
2018,TH_TNG,_L_KZ_070b01_1A,KZALM,KZALM,134164120.0
2010,TH_TNG,_L_KZ_070b01_1A,KZATY,KZATY,68303177.0
2011,TH_TNG,_L_KZ_070b01_1A,KZATY,KZATY,50539151.0
2012,TH_TNG,_L_KZ_070b01_1A,KZATY,KZATY,49197890.0
2013,TH_TNG,_L_KZ_070b01_1A,KZATY,KZATY,36658573.0
2014,TH_TNG,_L_KZ_070b01_1A,KZATY,KZATY,44405799.0
2015,TH_TNG,_L_KZ_070b01_1A,KZATY,KZATY,26749620.0
2016,TH_TNG,_L_KZ_070b01_1A,KZATY,KZATY,37945235.0
2017,TH_TNG,_L_KZ_070b01_1A,KZATY,KZATY,56224173.0
2018,TH_TNG,_L_KZ_070b01_1A,KZATY,KZATY,49981683.0
