Year,UNIT_MEASURE,Regions,GeoCode,Value
2010,thousands hectares,,,13.16889724587988
2010,thousands hectares,Akmola,KZAKM,571.6
2010,thousands hectares,Aktobe,KZAKT,2582.5
2010,thousands hectares,Almaty,KZALM,5767.9
2010,thousands hectares,Atyrau,KZATY,3133.9
2010,thousands hectares,Batys Kazakhstan,KZZAP,1875.9
2010,thousands hectares,Zhambyl,KZZHA,2636.7
2010,thousands hectares,Karagandy,KZKAR,960.1
2010,thousands hectares,Kostanay,KZKUS,769.9
2010,thousands hectares,Kyzylorda,KZKZY,2849.6
2010,thousands hectares,Mangistau,KZMAN,1456.3
2010,thousands hectares,Pavlodar,KZPAV,1297.2
2010,thousands hectares,Soltustik Kazakhstan,KZSEV,56.0
2010,thousands hectares,Turkistan,KZYUZ,4066.6
2010,thousands hectares,Shygys Kazakhstan,KZVOS,1292.6
2010,thousands hectares,Almaty city,KZALA,0.1
2010,thousands hectares,Shymkent city,KZSHY,23.2
2011,thousands hectares,,,21.991983967935877
2011,thousands hectares,Akmola,KZAKM,571.6
2011,thousands hectares,Aktobe,KZAKT,2582.5
2011,thousands hectares,Almaty,KZALM,5767.9
2011,thousands hectares,Atyrau,KZATY,3133.9
2011,thousands hectares,Batys Kazakhstan,KZZAP,1875.9
2011,thousands hectares,Zhambyl,KZZHA,2636.7
2011,thousands hectares,Karagandy,KZKAR,960.1
2011,thousands hectares,Kostanay,KZKUS,769.9
2011,thousands hectares,Kyzylorda,KZKZY,2849.6
2011,thousands hectares,Mangistau,KZMAN,1456.3
2011,thousands hectares,Pavlodar,KZPAV,1297.2
2011,thousands hectares,Soltustik Kazakhstan,KZSEV,56.0
2011,thousands hectares,Turkistan,KZYUZ,4066.6
2011,thousands hectares,Shygys Kazakhstan,KZVOS,1292.6
2011,thousands hectares,Almaty city,KZALA,0.1
2011,thousands hectares,Shymkent city,KZSHY,23.2
2012,thousands hectares,,,27.2749298648304
2012,thousands hectares,Akmola,KZAKM,571.6
2012,thousands hectares,Aktobe,KZAKT,2582.5
2012,thousands hectares,Almaty,KZALM,5767.9
2012,thousands hectares,Atyrau,KZATY,3133.9
2012,thousands hectares,Batys Kazakhstan,KZZAP,1875.9
2012,thousands hectares,Zhambyl,KZZHA,2636.7
2012,thousands hectares,Karagandy,KZKAR,960.1
2012,thousands hectares,Kostanay,KZKUS,769.9
2012,thousands hectares,Kyzylorda,KZKZY,2849.6
2012,thousands hectares,Mangistau,KZMAN,1456.3
2012,thousands hectares,Pavlodar,KZPAV,1297.2
2012,thousands hectares,Soltustik Kazakhstan,KZSEV,56.0
2012,thousands hectares,Turkistan,KZYUZ,4066.6
2012,thousands hectares,Shygys Kazakhstan,KZVOS,1292.6
2012,thousands hectares,Almaty city,KZALA,0.1
2012,thousands hectares,Shymkent city,KZSHY,23.2
2013,thousands hectares,,,17.15395157606213
2013,thousands hectares,Akmola,KZAKM,571.6
2013,thousands hectares,Aktobe,KZAKT,2582.5
2013,thousands hectares,Almaty,KZALM,5767.9
2013,thousands hectares,Atyrau,KZATY,3133.9
2013,thousands hectares,Batys Kazakhstan,KZZAP,1875.9
2013,thousands hectares,Zhambyl,KZZHA,2636.7
2013,thousands hectares,Karagandy,KZKAR,960.1
2013,thousands hectares,Kostanay,KZKUS,769.9
2013,thousands hectares,Kyzylorda,KZKZY,2849.6
2013,thousands hectares,Mangistau,KZMAN,1456.3
2013,thousands hectares,Pavlodar,KZPAV,1297.2
2013,thousands hectares,Soltustik Kazakhstan,KZSEV,56.0
2013,thousands hectares,Turkistan,KZYUZ,4066.6
2013,thousands hectares,Shygys Kazakhstan,KZVOS,1292.6
2013,thousands hectares,Almaty city,KZALA,0.1
2013,thousands hectares,Shymkent city,KZSHY,23.2
2014,thousands hectares,,,21.348751156336725
2014,thousands hectares,Akmola,KZAKM,571.6
2014,thousands hectares,Aktobe,KZAKT,2582.5
2014,thousands hectares,Almaty,KZALM,5767.9
2014,thousands hectares,Atyrau,KZATY,3133.9
2014,thousands hectares,Batys Kazakhstan,KZZAP,1875.9
2014,thousands hectares,Zhambyl,KZZHA,2636.7
2014,thousands hectares,Karagandy,KZKAR,960.1
2014,thousands hectares,Kostanay,KZKUS,769.9
2014,thousands hectares,Kyzylorda,KZKZY,2849.6
2014,thousands hectares,Mangistau,KZMAN,1456.3
2014,thousands hectares,Pavlodar,KZPAV,1297.2
2014,thousands hectares,Soltustik Kazakhstan,KZSEV,56.0
2014,thousands hectares,Turkistan,KZYUZ,4066.6
2014,thousands hectares,Shygys Kazakhstan,KZVOS,1292.6
2014,thousands hectares,Almaty city,KZALA,0.1
2014,thousands hectares,Shymkent city,KZSHY,23.2
2015,thousands hectares,,,18.7378892733564
2015,thousands hectares,Akmola,KZAKM,571.6
2015,thousands hectares,Aktobe,KZAKT,2582.5
2015,thousands hectares,Almaty,KZALM,5767.9
2015,thousands hectares,Atyrau,KZATY,3133.9
2015,thousands hectares,Batys Kazakhstan,KZZAP,1875.9
2015,thousands hectares,Zhambyl,KZZHA,2636.7
2015,thousands hectares,Karagandy,KZKAR,960.1
2015,thousands hectares,Kostanay,KZKUS,769.9
2015,thousands hectares,Kyzylorda,KZKZY,2849.6
2015,thousands hectares,Mangistau,KZMAN,1456.3
2015,thousands hectares,Pavlodar,KZPAV,1297.2
2015,thousands hectares,Soltustik Kazakhstan,KZSEV,56.0
2015,thousands hectares,Turkistan,KZYUZ,4066.6
2015,thousands hectares,Shygys Kazakhstan,KZVOS,1292.6
2015,thousands hectares,Almaty city,KZALA,0.1
2015,thousands hectares,Shymkent city,KZSHY,23.2
2016,thousands hectares,,,13.521250000000002
2016,thousands hectares,Akmola,KZAKM,571.6
2016,thousands hectares,Aktobe,KZAKT,2582.5
2016,thousands hectares,Almaty,KZALM,5767.9
2016,thousands hectares,Atyrau,KZATY,3133.9
2016,thousands hectares,Batys Kazakhstan,KZZAP,1875.9
2016,thousands hectares,Zhambyl,KZZHA,2636.7
2016,thousands hectares,Karagandy,KZKAR,960.1
2016,thousands hectares,Kostanay,KZKUS,769.9
2016,thousands hectares,Kyzylorda,KZKZY,2849.6
2016,thousands hectares,Mangistau,KZMAN,1456.3
2016,thousands hectares,Pavlodar,KZPAV,1297.2
2016,thousands hectares,Soltustik Kazakhstan,KZSEV,56.0
2016,thousands hectares,Turkistan,KZYUZ,4066.6
2016,thousands hectares,Shygys Kazakhstan,KZVOS,1292.6
2016,thousands hectares,Almaty city,KZALA,0.1
2016,thousands hectares,Shymkent city,KZSHY,23.2
2017,thousands hectares,,,18.38984438984439
2017,thousands hectares,Akmola,KZAKM,571.6
2017,thousands hectares,Aktobe,KZAKT,2582.5
2017,thousands hectares,Almaty,KZALM,5767.9
2017,thousands hectares,Atyrau,KZATY,3133.9
2017,thousands hectares,Batys Kazakhstan,KZZAP,1875.9
2017,thousands hectares,Zhambyl,KZZHA,2636.7
2017,thousands hectares,Karagandy,KZKAR,960.1
2017,thousands hectares,Kostanay,KZKUS,769.9
2017,thousands hectares,Kyzylorda,KZKZY,2849.6
2017,thousands hectares,Mangistau,KZMAN,1456.3
2017,thousands hectares,Pavlodar,KZPAV,1297.2
2017,thousands hectares,Soltustik Kazakhstan,KZSEV,56.0
2017,thousands hectares,Turkistan,KZYUZ,4066.6
2017,thousands hectares,Shygys Kazakhstan,KZVOS,1292.6
2017,thousands hectares,Almaty city,KZALA,0.1
2017,thousands hectares,Shymkent city,KZSHY,23.2
2018,thousands hectares,,,21.266485998193318
2018,thousands hectares,Akmola,KZAKM,571.6
2018,thousands hectares,Aktobe,KZAKT,2582.5
2018,thousands hectares,Almaty,KZALM,5767.9
2018,thousands hectares,Atyrau,KZATY,3133.9
2018,thousands hectares,Batys Kazakhstan,KZZAP,1875.9
2018,thousands hectares,Zhambyl,KZZHA,2636.7
2018,thousands hectares,Karagandy,KZKAR,960.1
2018,thousands hectares,Kostanay,KZKUS,769.9
2018,thousands hectares,Kyzylorda,KZKZY,2849.6
2018,thousands hectares,Mangistau,KZMAN,1456.3
2018,thousands hectares,Pavlodar,KZPAV,1297.2
2018,thousands hectares,Soltustik Kazakhstan,KZSEV,56.0
2018,thousands hectares,Turkistan,KZYUZ,4066.6
2018,thousands hectares,Shygys Kazakhstan,KZVOS,1292.6
2018,thousands hectares,Almaty city,KZALA,0.1
2018,thousands hectares,Shymkent city,KZSHY,23.2
2019,thousands hectares,Akmola,KZAKM,571.6
2019,thousands hectares,Aktobe,KZAKT,2582.5
2019,thousands hectares,Almaty,KZALM,5767.9
2019,thousands hectares,Atyrau,KZATY,3133.9
2019,thousands hectares,Batys Kazakhstan,KZZAP,1875.9
2019,thousands hectares,Zhambyl,KZZHA,2636.7
2019,thousands hectares,Karagandy,KZKAR,960.1
2019,thousands hectares,Kostanay,KZKUS,769.9
2019,thousands hectares,Kyzylorda,KZKZY,2849.6
2019,thousands hectares,Mangistau,KZMAN,1456.3
