Year,Value,SERIES,UNIT_MEASURE
2010,12317.8,_L_KZ_150201_1A,мың.гектар
2010,380.7,AG_LND_FRSTBIOM,млн.метр куб
2010,24.0,_L_KZ_150201_1B,пайыз
2010,12317.8,AG_LND_FRSTPRCT,мың.гектар
2010,12317.8,AG_LND_FRSTMGT,мың.гектар
2011,12452.0,_L_KZ_150201_1A,мың.гектар
2011,380.7,AG_LND_FRSTBIOM,млн.метр куб
2011,134.20000000000073,_L_KZ_150201_1B,пайыз
2011,12452.0,AG_LND_FRSTPRCT,мың.гектар
2011,12452.0,AG_LND_FRSTMGT,мың.гектар
2012,12548.6,_L_KZ_150201_1A,мың.гектар
2012,412.2,AG_LND_FRSTBIOM,млн.метр куб
2012,96.60000000000036,_L_KZ_150201_1B,пайыз
2012,12548.6,AG_LND_FRSTPRCT,мың.гектар
2012,12548.6,AG_LND_FRSTMGT,мың.гектар
2013,12593.9,_L_KZ_150201_1A,мың.гектар
2013,412.2,AG_LND_FRSTBIOM,млн.метр куб
2013,45.29999999999927,_L_KZ_150201_1B,пайыз
2013,12593.9,AG_LND_FRSTPRCT,мың.гектар
2013,12593.9,AG_LND_FRSTMGT,мың.гектар
2014,12627.0,_L_KZ_150201_1A,мың.гектар
2014,412.2,AG_LND_FRSTBIOM,млн.метр куб
2014,33.100000000000364,_L_KZ_150201_1B,пайыз
2014,12627.0,AG_LND_FRSTPRCT,мың.гектар
2014,12627.0,AG_LND_FRSTMGT,мың.гектар
2015,12652.4,_L_KZ_150201_1A,мың.гектар
2015,412.2,AG_LND_FRSTBIOM,млн.метр куб
2015,25.39999999999964,_L_KZ_150201_1B,пайыз
2015,12652.4,AG_LND_FRSTPRCT,мың.гектар
2015,12652.4,AG_LND_FRSTMGT,мың.гектар
2016,12706.8,_L_KZ_150201_1A,мың.гектар
2016,412.2,AG_LND_FRSTBIOM,млн.метр куб
2016,54.39999999999964,_L_KZ_150201_1B,пайыз
2016,12706.8,AG_LND_FRSTPRCT,мың.гектар
2016,12706.8,AG_LND_FRSTMGT,мың.гектар
2017,12903.5,_L_KZ_150201_1A,мың.гектар
2017,421.8,AG_LND_FRSTBIOM,млн.метр куб
2017,196.70000000000076,_L_KZ_150201_1B,пайыз
2017,12903.5,AG_LND_FRSTPRCT,мың.гектар
2017,12903.5,AG_LND_FRSTMGT,мың.гектар
2018,12933.1,_L_KZ_150201_1A,мың.гектар
2018,428.6,AG_LND_FRSTBIOM,млн.метр куб
2018,29.600000000000364,_L_KZ_150201_1B,пайыз
2018,12933.1,AG_LND_FRSTPRCT,мың.гектар
2018,12933.1,AG_LND_FRSTMGT,мың.гектар
2019,13121.8,_L_KZ_150201_1A,мың.гектар
2019,435.8,AG_LND_FRSTBIOM,млн.метр куб
2019,188.6999999999989,_L_KZ_150201_1B,пайыз
2019,13121.8,AG_LND_FRSTPRCT,мың.гектар
2019,13121.8,AG_LND_FRSTMGT,мың.гектар
