Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,на 100 000 населения,"Заболеваемость психическими и поведенческими расстройствами, вследствии употребления психоактивных веществ",350.7
2010,на 100 000 населения,Заболеваемость психическими и поведенческими расстройствами в результате употребления алкоголя,301.3
2010,на 100 000 населения,Заболеваемость психическими и поведенческими расстройствами в результате употребления наркотических веществ,44.3
2011,на 100 000 населения,"Заболеваемость психическими и поведенческими расстройствами, вследствии употребления психоактивных веществ",330.9
2011,на 100 000 населения,Заболеваемость психическими и поведенческими расстройствами в результате употребления алкоголя,287.3
2011,на 100 000 населения,Заболеваемость психическими и поведенческими расстройствами в результате употребления наркотических веществ,37.1
2012,на 100 000 населения,"Заболеваемость психическими и поведенческими расстройствами, вследствии употребления психоактивных веществ",311.4
2012,на 100 000 населения,Заболеваемость психическими и поведенческими расстройствами в результате употребления алкоголя,276.5
2012,на 100 000 населения,Заболеваемость психическими и поведенческими расстройствами в результате употребления наркотических веществ,28.4
2013,на 100 000 населения,"Заболеваемость психическими и поведенческими расстройствами, вследствии употребления психоактивных веществ",278.2
2013,на 100 000 населения,Заболеваемость психическими и поведенческими расстройствами в результате употребления алкоголя,241.1
2013,на 100 000 населения,Заболеваемость психическими и поведенческими расстройствами в результате употребления наркотических веществ,33.0
2014,на 100 000 населения,"Заболеваемость психическими и поведенческими расстройствами, вследствии употребления психоактивных веществ",241.5
2014,на 100 000 населения,Заболеваемость психическими и поведенческими расстройствами в результате употребления алкоголя,210.0
2014,на 100 000 населения,Заболеваемость психическими и поведенческими расстройствами в результате употребления наркотических веществ,29.7
2015,на 100 000 населения,"Заболеваемость психическими и поведенческими расстройствами, вследствии употребления психоактивных веществ",216.4
2015,на 100 000 населения,Заболеваемость психическими и поведенческими расстройствами в результате употребления алкоголя,184.8
2015,на 100 000 населения,Заболеваемость психическими и поведенческими расстройствами в результате употребления наркотических веществ,30.7
2016,на 100 000 населения,"Заболеваемость психическими и поведенческими расстройствами, вследствии употребления психоактивных веществ",156.6
2016,на 100 000 населения,Заболеваемость психическими и поведенческими расстройствами в результате употребления алкоголя,130.6
2016,на 100 000 населения,Заболеваемость психическими и поведенческими расстройствами в результате употребления наркотических веществ,25.1
2017,на 100 000 населения,"Заболеваемость психическими и поведенческими расстройствами, вследствии употребления психоактивных веществ",109.2
2017,на 100 000 населения,Заболеваемость психическими и поведенческими расстройствами в результате употребления алкоголя,86.6
2017,на 100 000 населения,Заболеваемость психическими и поведенческими расстройствами в результате употребления наркотических веществ,21.8
2018,на 100 000 населения,"Заболеваемость психическими и поведенческими расстройствами, вследствии употребления психоактивных веществ",99.8
2018,на 100 000 населения,Заболеваемость психическими и поведенческими расстройствами в результате употребления алкоголя,79.4
2018,на 100 000 населения,Заболеваемость психическими и поведенческими расстройствами в результате употребления наркотических веществ,20.1
2019,на 100 000 населения,"Заболеваемость психическими и поведенческими расстройствами, вследствии употребления психоактивных веществ",85.6
2019,на 100 000 населения,Заболеваемость психическими и поведенческими расстройствами в результате употребления алкоголя,69.0
2019,на 100 000 населения,Заболеваемость психическими и поведенческими расстройствами в результате употребления наркотических веществ,16.2
2020,на 100 000 населения,"Заболеваемость психическими и поведенческими расстройствами, вследствии употребления психоактивных веществ",75.7
2020,на 100 000 населения,Заболеваемость психическими и поведенческими расстройствами в результате употребления алкоголя,62.3
2020,на 100 000 населения,Заболеваемость психическими и поведенческими расстройствами в результате употребления наркотических веществ,13.4
2021,на 100 000 населения,"Заболеваемость психическими и поведенческими расстройствами, вследствии употребления психоактивных веществ",70.4
2021,на 100 000 населения,Заболеваемость психическими и поведенческими расстройствами в результате употребления алкоголя,58.1
2021,на 100 000 населения,Заболеваемость психическими и поведенческими расстройствами в результате употребления наркотических веществ,12.3
2022,на 100 000 населения,"Заболеваемость психическими и поведенческими расстройствами, вследствии употребления психоактивных веществ",64.4
2022,на 100 000 населения,Заболеваемость психическими и поведенческими расстройствами в результате употребления алкоголя,53.0
2022,на 100 000 населения,Заболеваемость психическими и поведенческими расстройствами в результате употребления наркотических веществ,11.4
