Year,UNIT_MEASURE,SERIES,URBANISATION,REF_AREA,Value
2015,PT,SE_ACS_H2O,,,100.0
2016,PT,SE_ACS_H2O,,,100.0
2017,PT,SE_ACS_H2O,,,100.0
2018,PT,SE_ACS_H2O,,,100.0
2019,PT,SE_ACS_INTNT,,,94.06596377399296
2019,PT,SE_ACS_INTNT,,KZAKM,100.0
2019,PT,SE_ACS_INTNT,,KZAKT,97.12918660287079
2019,PT,SE_ACS_INTNT,,KZALM,91.78255372945637
2019,PT,SE_ACS_INTNT,,KZATY,93.71980676328505
2019,PT,SE_ACS_INTNT,,KZZAP,86.92307692307692
2019,PT,SE_ACS_INTNT,,KZZHA,99.78308026030369
2019,PT,SE_ACS_INTNT,,KZKAR,97.39292364990688
2019,PT,SE_ACS_INTNT,,KZKUS,91.47286821705427
2019,PT,SE_ACS_INTNT,,KZKZY,98.08917197452229
2019,PT,SE_ACS_INTNT,,KZMAN,100.0
2019,PT,SE_ACS_INTNT,,KZPAV,99.45652173913044
2019,PT,SE_ACS_INTNT,,KZSEV,90.74074074074076
2019,PT,SE_ACS_INTNT,,KZYUZ,83.04347826086956
2019,PT,SE_ACS_INTNT,,KZVOS,99.1163475699558
2019,PT,SE_ACS_INTNT,,KZNS,94.91525423728814
2019,PT,SE_ACS_INTNT,,KZALA,98.6206896551724
2019,PT,SE_ACS_INTNT,,KZSHY,91.90751445086704
2019,PT,SE_ACS_INTNT,U,,96.68717463322292
2019,PT,SE_ACS_INTNT,U,KZAKM,100.0
2019,PT,SE_ACS_INTNT,U,KZAKT,97.77777777777777
2019,PT,SE_ACS_INTNT,U,KZALM,96.39639639639641
2019,PT,SE_ACS_INTNT,U,KZATY,96.05263157894736
2019,PT,SE_ACS_INTNT,U,KZZAP,93.24324324324324
2019,PT,SE_ACS_INTNT,U,KZZHA,99.05660377358492
2019,PT,SE_ACS_INTNT,U,KZKAR,97.8813559322034
2019,PT,SE_ACS_INTNT,U,KZKUS,97.979797979798
2019,PT,SE_ACS_INTNT,U,KZKZY,93.67088607594937
2019,PT,SE_ACS_INTNT,U,KZMAN,100.0
2019,PT,SE_ACS_INTNT,U,KZPAV,97.87234042553192
