Year,UNIT_MEASURE,URBANISATION,REF_AREA,Value
2012,PT,,,3.5065578554111165
2012,PT,,KZAKM,4.946407458376137
2012,PT,,KZAKT,1.8657933972667384
2012,PT,,KZALM,6.187236471032997
2012,PT,,KZATY,1.539979523524076
2012,PT,,KZZAP,6.377347835797937
2012,PT,,KZZHA,1.925666819695505
2012,PT,,KZKAR,4.316336769132537
2012,PT,,KZKUS,12.094940365224588
2012,PT,,KZKZY,0.2020558103942668
2012,PT,,KZMAN,0.032716892549545636
2012,PT,,KZYUZ,0.8531819147217448
2012,PT,,KZPAV,5.652412751552785
2012,PT,,KZSEV,5.535838041035764
2012,PT,,KZVOS,4.6222234756215785
2012,PT,U,,4.140620987731073
2012,PT,U,KZAKM,8.473930069232386
2012,PT,U,KZAKT,2.86737060829403
2012,PT,U,KZALM,5.685611830881334
2012,PT,U,KZATY,1.720930476295283
2012,PT,U,KZZAP,9.820837685481235
2012,PT,U,KZZHA,2.0829414933804284
2012,PT,U,KZKAR,4.6296952496014985
2012,PT,U,KZKUS,17.41053437575562
2012,PT,U,KZKZY,0.2030960224645178
2012,PT,U,KZMAN,0.0030032585355110296
2012,PT,U,KZYUZ,0.26455552682354344
2012,PT,U,KZPAV,7.407324034972402
2012,PT,U,KZSEV,11.502025364728427
2012,PT,U,KZVOS,6.716925719119897
2012,PT,R,,2.5920112532057056
2012,PT,R,KZAKM,1.4954300494293662
2012,PT,R,KZAKT,0.0
2012,PT,R,KZALM,6.350712265758911
2012,PT,R,KZATY,1.3545230435413098
2012,PT,R,KZZAP,2.5170724730952125
2012,PT,R,KZZHA,1.8045400755206158
2012,PT,R,KZKAR,2.9728517480696235
2012,PT,R,KZKUS,5.798623438539544
2012,PT,R,KZKZY,0.2012017301783023
2012,PT,R,KZMAN,0.06826347305389223
2012,PT,R,KZYUZ,1.289819406312084
2012,PT,R,KZPAV,1.1429827453566326
2012,PT,R,KZSEV,0.6234036768563299
2012,PT,R,KZVOS,1.1612333195425188
2013,PT,,,3.685402162446737
2013,PT,,KZAKM,4.932856776352089
2013,PT,,KZAKT,5.940240052837447
2013,PT,,KZALM,6.181900564672289
2013,PT,,KZATY,1.6330128330503857
2013,PT,,KZZAP,6.180782882442212
2013,PT,,KZZHA,1.6275990645223826
2013,PT,,KZKAR,4.306760447256608
2013,PT,,KZKUS,12.088929175005255
2013,PT,,KZKZY,0.198342782749242
2013,PT,,KZMAN,0.02694221686899743
2013,PT,,KZYUZ,0.8652873366676641
2013,PT,,KZPAV,5.941565220769258
2013,PT,,KZSEV,5.606523955147809
2013,PT,,KZVOS,4.753230599617664
2013,PT,U,,4.445585222468425
2013,PT,U,KZAKM,8.446452291147242
2013,PT,U,KZAKT,8.688692681604673
2013,PT,U,KZALM,5.520671796822425
2013,PT,U,KZATY,1.7920040194482678
2013,PT,U,KZZAP,10.132132534728656
2013,PT,U,KZZHA,1.7937701396348014
2013,PT,U,KZKAR,4.614037624843473
2013,PT,U,KZKUS,17.305227318245546
2013,PT,U,KZKZY,0.19952507411934967
2013,PT,U,KZMAN,0.0
2013,PT,U,KZYUZ,0.2333424840189812
2013,PT,U,KZPAV,7.76534077318078
2013,PT,U,KZSEV,11.525011826470887
2013,PT,U,KZVOS,6.943106473019433
2013,PT,R,,2.589585617738482
2013,PT,R,KZAKM,1.4920701168614356
2013,PT,R,KZAKT,0.8946928659275046
2013,PT,R,KZALM,6.394720287491193
2013,PT,R,KZATY,1.4751133103247538
2013,PT,R,KZZAP,1.722596173096002
2013,PT,R,KZZHA,1.4995532986521058
2013,PT,R,KZKAR,2.9817267717296723
2013,PT,R,KZKUS,5.833718605335367
2013,PT,R,KZKZY,0.19737347361953766
2013,PT,R,KZMAN,0.057847396300035166
2013,PT,R,KZYUZ,1.3302773094347866
2013,PT,R,KZPAV,1.1566253753753757
2013,PT,R,KZSEV,0.645351911174696
2013,PT,R,KZVOS,1.0970818377771594
2014,PT,,,3.433270472821785
2014,PT,,KZAKM,4.923791368458343
