Year,UNIT_MEASURE,URBANISATION,SEX,REF_AREA,AGE,EDUCATION_LEV,INCOME_WEALTH_QUANTILE,GeoCode,Value
2010,PT,,,,,,,,81.6
2010,PT,U,,,,,,,856.0
2010,PT,R,,,,,,,780.0
2010,PT,,M,,,,,,804.0
2010,PT,,F,,,,,,827.0
2010,PT,,,KZAKM,,,,KZAKM,90.5
2010,PT,,,KZAKT,,,,KZAKT,96.1
2010,PT,,,KZALM,,,,KZALM,81.4
2010,PT,,,KZATY,,,,KZATY,83.2
2010,PT,,,KZZAP,,,,KZZAP,98.6
2010,PT,,,KZZHA,,,,KZZHA,83.9
2010,PT,,,KZKAR,,,,KZKAR,75.9
2010,PT,,,KZKUS,,,,KZKUS,83.3
2010,PT,,,KZKZY,,,,KZKZY,67.2
2010,PT,,,KZMAN,,,,KZMAN,66.9
2010,PT,,,KZONT,,,,KZONT,70.1
2010,PT,,,KZPAV,,,,KZPAV,95.7
2010,PT,,,KZSEV,,,,KZSEV,84.3
2010,PT,,,KZVOS,,,,KZVOS,80.6
2010,PT,,,KZNS,,,,KZNS,93.3
2010,PT,,,KZALA,,,,KZALA,97.4
2010,PT,,,,,_L_EDU_BS_MS,,,77.1
2010,PT,,,,,ISCED11_25_35_45,,,833.0
2010,PT,,,,,AGG_5T8,,,853.0
2010,PT,,,,,,Q1,,711.0
2010,PT,,,,,,Q2,,788.0
2010,PT,,,,,,Q3,,832.0
2010,PT,,,,,,Q4,,865.0
2010,PT,,,,,,Q5,,916.0
2015,PT,,,,,,,,90.8
2015,PT,U,,,,,,,90.6
2015,PT,R,,,,,,,90.9
2015,PT,,M,,,,,,91.1
2015,PT,,F,,,,,,90.4
2015,PT,,,KZAKM,,,,KZAKM,98.8
2015,PT,,,KZAKT,,,,KZAKT,100.0
2015,PT,,,KZALM,,,,KZALM,82.4
2015,PT,,,KZATY,,,,KZATY,98.5
2015,PT,,,KZZAP,,,,KZZAP,100.0
2015,PT,,,KZZHA,,,,KZZHA,92.0
2015,PT,,,KZKAR,,,,KZKAR,94.0
2015,PT,,,KZKUS,,,,KZKUS,100.0
2015,PT,,,KZKZY,,,,KZKZY,69.6
2015,PT,,,KZMAN,,,,KZMAN,100.0
2015,PT,,,KZONT,,,,KZONT,87.4
2015,PT,,,KZPAV,,,,KZPAV,95.4
2015,PT,,,KZSEV,,,,KZSEV,94.9
2015,PT,,,KZVOS,,,,KZVOS,96.6
2015,PT,,,KZNS,,,,KZNS,100.0
2015,PT,,,KZALA,,,,KZALA,58.4
2015,,,,,Y6,,,,89.8
2015,PT,,,,Y_GE7,,,,92.1
2015,PT,,,,,_L_EDU_BS_MS,,,95.5
2015,PT,,,,,ISCED11_34,,,83.2
2015,PT,,,,,ISCED11_25_35_45,,,92.0
2015,PT,,,,,AGG_5T8,,,94.6
2015,PT,,,,,,Q1,,88.3
2015,PT,,,,,,Q2,,87.2
2015,PT,,,,,,Q3,,89.4
2015,PT,,,,,,Q4,,93.5
2015,PT,,,,,,Q5,,96.7
