Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,M_USD,_L_ODA_RCP,58.1
2010,M_USD,_L_ODA_CMS,184.5
2011,M_USD,_L_ODA_RCP,21.3
2011,M_USD,_L_ODA_CMS,13.7
2012,M_USD,_L_ODA_RCP,34.4
2012,M_USD,_L_ODA_CMS,37.2
2013,M_USD,_L_ODA_RCP,46.0
2013,M_USD,_L_ODA_DNR,0.07
2013,M_USD,_L_ODA_CMS,9.9
2014,M_USD,_L_ODA_RCP,23.5
2014,M_USD,_L_ODA_DNR,0.17
2014,M_USD,_L_ODA_CMS,46.6
2015,M_USD,_L_ODA_RCP,16.4
2015,M_USD,_L_ODA_DNR,0.71
2015,M_USD,_L_ODA_CMS,16.4
2016,M_USD,_L_ODA_RCP,35.2
2016,M_USD,_L_ODA_DNR,1.92
2016,M_USD,_L_ODA_CMS,5.7
2017,M_USD,_L_ODA_RCP,8.1
2017,M_USD,_L_ODA_DNR,0.13
2017,M_USD,_L_ODA_CMS,18.2
2018,M_USD,_L_ODA_RCP,8.4
2018,M_USD,_L_ODA_DNR,4.48
2018,M_USD,_L_ODA_CMS,13.5
