Year,Units,Регионы,Value
2015,процент,,9.1
2016,процент,,10.0
2017,процент,,15.0
2018,процент,,20.1
2017,процент,Акмолинская,23.0
2018,процент,Акмолинская,20.3
2017,процент,Актюбинская,13.0
2018,процент,Актюбинская,20.5
2017,процент,Алматинская,10.9
2018,процент,Алматинская,10.1
2017,процент,Атырауская,7.9
2018,процент,Атырауская,20.2
2017,процент,Западно-Казахстанская,18.1
2018,процент,Западно-Казахстанская,22.1
2017,процент,Жамбылская,21.3
2018,процент,Жамбылская,29.9
2017,процент,Карагандинская,34.4
2018,процент,Карагандинская,31.4
2017,процент,Костанайская,26.9
2018,процент,Костанайская,20.1
2017,процент,Кызылординская,10.1
2018,процент,Кызылординская,21.0
2017,процент,Мангистауская,10.0
2018,процент,Мангистауская,20.2
2017,процент,Южно-Казахстанская,9.8
2017,процент,Павлодарская,24.4
2018,процент,Павлодарская,73.4
2017,процент,Северо-Казахстанская,26.9
2018,процент,Северо-Казахстанская,16.0
2018,процент,Туркестанская,9.0
2017,процент,Восточно-Казахстанская,20.6
2018,процент,Восточно-Казахстанская,20.5
2017,процент,г_Нур-Султан,20.0
2018,процент,г_Нур-Султан,10.3
2017,процент,г_Алматы,12.0
2018,процент,г_Алматы,41.2
2018,процент,г_Шымкент,9.1
