Year,UNIT_MEASURE,REF_AREA,URBANISATION,SEX,Value
2010,PER_100000_POP,,,,7.14
2010,PER_100000_POP,KZAKM,,,11.3
2010,PER_100000_POP,KZAKT,,,4.15
2010,PER_100000_POP,KZALM,,,6.96
2010,PER_100000_POP,KZATY,,,2.66
2010,PER_100000_POP,KZZAP,,,6.6
2010,PER_100000_POP,KZZHA,,,4.04
2010,PER_100000_POP,KZKAR,,,13.41
2010,PER_100000_POP,KZKUS,,,11.33
2010,PER_100000_POP,KZKZY,,,1.87
2010,PER_100000_POP,KZMAN,,,1.36
2010,PER_100000_POP,KZONT,,,2.76
2010,PER_100000_POP,KZPAV,,,13.82
2010,PER_100000_POP,KZSEV,,,2.03
2010,PER_100000_POP,KZVOS,,,10.16
2010,PER_100000_POP,KZNS,,,10.7
2010,PER_100000_POP,KZALA,,,8.99
2010,PER_100000_POP,,U,,8.68
2010,PER_100000_POP,KZAKM,U,,11.97
2010,PER_100000_POP,KZAKT,U,,3.18
2010,PER_100000_POP,KZALM,U,,9.42
2010,PER_100000_POP,KZATY,U,,2.79
2010,PER_100000_POP,KZZAP,U,,7.67
2010,PER_100000_POP,KZZHA,U,,5.93
2010,PER_100000_POP,KZKAR,U,,15.4
2010,PER_100000_POP,KZKUS,U,,10.17
2010,PER_100000_POP,KZKZY,U,,1.02
2010,PER_100000_POP,KZMAN,U,,1.47
2010,PER_100000_POP,KZONT,U,,4.51
2010,PER_100000_POP,KZPAV,U,,12.15
2010,PER_100000_POP,KZSEV,U,,2.52
2010,PER_100000_POP,KZVOS,U,,11.9
2010,PER_100000_POP,KZNS,U,,10.7
2010,PER_100000_POP,KZALA,U,,8.99
2010,PER_100000_POP,,R,,5.31
2010,PER_100000_POP,KZAKM,R,,10.72
2010,PER_100000_POP,KZAKT,R,,5.69
2010,PER_100000_POP,KZALM,R,,6.2
2010,PER_100000_POP,KZATY,R,,2.54
2010,PER_100000_POP,KZZAP,R,,5.64
2010,PER_100000_POP,KZZHA,R,,2.75
2010,PER_100000_POP,KZKAR,R,,6.38
2010,PER_100000_POP,KZKUS,R,,12.49
2010,PER_100000_POP,KZKZY,R,,2.49
2010,PER_100000_POP,KZMAN,R,,1.24
2010,PER_100000_POP,KZONT,R,,1.62
2010,PER_100000_POP,KZPAV,R,,17.45
2010,PER_100000_POP,KZSEV,R,,1.7
