Year,Units,Регионы,Value
2011,процент,,15.03
2012,процент,,13.74
2013,процент,,13.89
2014,процент,,10.18
2015,процент,,10.75
2016,процент,,8.33
2017,процент,,15.56
2018,процент,,12.87
2014,процент,,23725.5328442732
2015,процент,,15169.501879678994
2016,процент,,21046.413407961463
2017,процент,,20899.48552877959
2014,процент,Акмолинская,-13.199060000000001
2015,процент,Акмолинская,15.626779999999995
2016,процент,Акмолинская,253.38455
2017,процент,Акмолинская,74.99448000000001
2014,процент,Актюбинская,1418.9309
2015,процент,Актюбинская,367.97854
2016,процент,Актюбинская,1200.9773400000001
2017,процент,Актюбинская,1997.88333
2014,процент,Алматинская,235.3059
2015,процент,Алматинская,131.19776000000002
2016,процент,Алматинская,99.92902
2017,процент,Алматинская,175.53900000000002
2014,процент,Атырауская,9135.67141357933
2015,процент,Атырауская,6820.981067740854
2016,процент,Атырауская,8581.573300303999
2017,процент,Атырауская,7668.545003758431
2014,процент,Западно-Казахстанская,1628.1023699999998
2015,процент,Западно-Казахстанская,1396.7453
2016,процент,Западно-Казахстанская,1356.78257
2017,процент,Западно-Казахстанская,1201.6102
2014,процент,Жамбылская,94.37473
2015,процент,Жамбылская,-30.900720000000003
2016,процент,Жамбылская,149.599
2017,процент,Жамбылская,85.52842999999999
2014,процент,Карагандинская,71.12025000000003
2015,процент,Карагандинская,31.702079999999995
2016,процент,Карагандинская,304.23569
2017,процент,Карагандинская,461.7872
2014,процент,Костанайская,335.15974
2015,процент,Костанайская,14.408630000000016
2016,процент,Костанайская,358.0976500000001
2017,процент,Костанайская,-120.26878000000002
2014,процент,Кызылординская,359.04341999999986
2015,процент,Кызылординская,169.21308
2016,процент,Кызылординская,206.78115
2017,процент,Кызылординская,99.29908
2014,процент,Мангистауская,1609.3645399999998
2015,процент,Мангистауская,227.04216
2016,процент,Мангистауская,450.22523
2017,процент,Мангистауская,623.1418600000002
2014,процент,Павлодарская,346.91643
2015,процент,Павлодарская,792.7140300000002
2016,процент,Павлодарская,472.41042000000004
2017,процент,Павлодарская,593.76484
2014,процент,Северо-Казахстанская,6.7222100000000005
2015,процент,Северо-Казахстанская,-13.48079
2016,процент,Северо-Казахстанская,2.53991
2017,процент,Северо-Казахстанская,18.011789999999998
2014,процент,Туркестанская,128.76013
2015,процент,Туркестанская,170.42156
2016,процент,Туркестанская,207.98848
2017,процент,Туркестанская,151.40365999999997
2014,процент,Восточно-Казахстанская,2638.50016
2015,процент,Восточно-Казахстанская,1796.1106
2016,процент,Восточно-Казахстанская,2458.5033
2017,процент,Восточно-Казахстанская,2927.62632
2014,процент,г.Нур-Султан,676.06448
2015,процент,г.Нур-Султан,424.00140999999996
2016,процент,г.Нур-Султан,208.08626999999998
2017,процент,г.Нур-Султан,583.74077
2014,процент,г.Алматы,4949.19033069387
2015,процент,г.Алматы,2742.53180193814
2016,процент,г.Алматы,4671.06978765747
2017,процент,г.Алматы,4015.9699250211615
2014,процент,г.Шымкент,105.5049
2015,процент,г.Шымкент,113.20858999999996
2016,процент,г.Шымкент,64.22973999999999
2017,процент,г.Шымкент,340.90842000000004
