Year,Units,Регионы,GeoCode,Value
2012,процент,,,98.4
2013,процент,,,100.0
2014,процент,,,100.0
2015,процент,,,100.0
2016,процент,,,100.0
2017,процент,,,100.0
2018,процент,,,100.0
2012,процент,Акмолинская,KZ03,99.0
2013,процент,Акмолинская,KZ03,100.0
2014,процент,Акмолинская,KZ03,100.0
2015,процент,Акмолинская,KZ03,100.0
2016,процент,Акмолинская,KZ03,100.0
2017,процент,Акмолинская,KZ03,100.0
2018,процент,Акмолинская,KZ03,100.0
2012,процент,Актюбинская,KZ04,96.7
2013,процент,Актюбинская,KZ04,100.0
2014,процент,Актюбинская,KZ04,100.0
2015,процент,Актюбинская,KZ04,100.0
2016,процент,Актюбинская,KZ04,100.0
2017,процент,Актюбинская,KZ04,100.0
2018,процент,Актюбинская,KZ04,100.0
2012,процент,Алматинская,KZ01,99.7
2013,процент,Алматинская,KZ01,100.0
2014,процент,Алматинская,KZ01,100.0
2015,процент,Алматинская,KZ01,100.0
2016,процент,Алматинская,KZ01,100.0
2017,процент,Алматинская,KZ01,100.0
2018,процент,Алматинская,KZ01,100.0
2012,процент,Атырауская,KZ06,90.7
2013,процент,Атырауская,KZ06,100.0
2014,процент,Атырауская,KZ06,100.0
2015,процент,Атырауская,KZ06,100.0
2016,процент,Атырауская,KZ06,100.0
2017,процент,Атырауская,KZ06,100.0
2018,процент,Атырауская,KZ06,100.0
2012,процент,Западно-Казахстанская,KZ07,99.5
2013,процент,Западно-Казахстанская,KZ07,100.0
2014,процент,Западно-Казахстанская,KZ07,100.0
2015,процент,Западно-Казахстанская,KZ07,100.0
2016,процент,Западно-Казахстанская,KZ07,100.0
2017,процент,Западно-Казахстанская,KZ07,100.0
2018,процент,Западно-Казахстанская,KZ07,100.0
2012,процент,Жамбылская,KZ17,99.5
2013,процент,Жамбылская,KZ17,100.0
2014,процент,Жамбылская,KZ17,100.0
2015,процент,Жамбылская,KZ17,100.0
2016,процент,Жамбылская,KZ17,100.0
2017,процент,Жамбылская,KZ17,100.0
2018,процент,Жамбылская,KZ17,100.0
2012,процент,Карагандинская,KZ12,99.7
2013,процент,Карагандинская,KZ12,100.0
2014,процент,Карагандинская,KZ12,100.0
2015,процент,Карагандинская,KZ12,100.0
2016,процент,Карагандинская,KZ12,100.0
2017,процент,Карагандинская,KZ12,100.0
2018,процент,Карагандинская,KZ12,100.0
2012,процент,Костанайская,KZ13,99.1
2013,процент,Костанайская,KZ13,99.8
2014,процент,Костанайская,KZ13,100.0
2015,процент,Костанайская,KZ13,100.0
2016,процент,Костанайская,KZ13,100.0
2017,процент,Костанайская,KZ13,100.0
2018,процент,Костанайская,KZ13,100.0
2012,процент,Кызылординская,KZ14,99.4
2013,процент,Кызылординская,KZ14,100.0
2014,процент,Кызылординская,KZ14,100.0
2015,процент,Кызылординская,KZ14,100.0
2016,процент,Кызылординская,KZ14,100.0
2017,процент,Кызылординская,KZ14,100.0
2018,процент,Кызылординская,KZ14,100.0
2012,процент,Мангистауская,KZ09,99.1
2013,процент,Мангистауская,KZ09,100.0
2014,процент,Мангистауская,KZ09,100.0
2015,процент,Мангистауская,KZ09,100.0
2016,процент,Мангистауская,KZ09,100.0
2017,процент,Мангистауская,KZ09,100.0
2018,процент,Мангистауская,KZ09,100.0
2012,процент,Южно-Казахстанская,KZ10,97.1
2013,процент,Южно-Казахстанская,KZ10,100.0
2014,процент,Южно-Казахстанская,KZ10,100.0
2015,процент,Южно-Казахстанская,KZ10,100.0
2016,процент,Южно-Казахстанская,KZ10,100.0
2017,процент,Южно-Казахстанская,KZ10,100.0
2012,процент,Павлодарская,KZ11,100.0
2013,процент,Павлодарская,KZ11,100.0
2014,процент,Павлодарская,KZ11,100.0
2015,процент,Павлодарская,KZ11,100.0
2016,процент,Павлодарская,KZ11,100.0
2017,процент,Павлодарская,KZ11,100.0
2018,процент,Павлодарская,KZ11,100.0
2012,процент,Северо-Казахстанская,KZ16,98.9
2013,процент,Северо-Казахстанская,KZ16,100.0
2014,процент,Северо-Казахстанская,KZ16,100.0
2015,процент,Северо-Казахстанская,KZ16,100.0
2016,процент,Северо-Казахстанская,KZ16,100.0
2017,процент,Северо-Казахстанская,KZ16,100.0
2018,процент,Северо-Казахстанская,KZ16,100.0
2018,процент,Туркестанская,KZ10,100.0
2012,процент,Восточно-Казахстанская,KZ15,99.3
2013,процент,Восточно-Казахстанская,KZ15,100.0
2014,процент,Восточно-Казахстанская,KZ15,100.0
2015,процент,Восточно-Казахстанская,KZ15,100.0
2016,процент,Восточно-Казахстанская,KZ15,100.0
2017,процент,Восточно-Казахстанская,KZ15,100.0
2018,процент,Восточно-Казахстанская,KZ15,100.0
2012,процент,г_Нур-Султан,KZ05,96.5
2013,процент,г_Нур-Султан,KZ05,100.0
2014,процент,г_Нур-Султан,KZ05,100.0
2015,процент,г_Нур-Султан,KZ05,100.0
2016,процент,г_Нур-Султан,KZ05,100.0
2017,процент,г_Нур-Султан,KZ05,100.0
2018,процент,г_Нур-Султан,KZ05,100.0
2012,процент,г_Алматы,KZ02,98.2
2013,процент,г_Алматы,KZ02,100.0
2014,процент,г_Алматы,KZ02,100.0
2015,процент,г_Алматы,KZ02,100.0
2016,процент,г_Алматы,KZ02,100.0
2017,процент,г_Алматы,KZ02,100.0
2018,процент,г_Алматы,KZ02,100.0
2018,процент,г_Шымкент,KZ18,100.0
