Year,UNIT_MEASURE,SERIES,AGE,URBANISATION,SEX,REF_AREA,Value
2010,PT,_L_KZ_DD_MSD,,,,,13.1
2010,PT,_L_KZ_DD_MSD,,,M,,13.2
2010,PT,_L_KZ_DD_MSD,,,F,,13.0
2010,PT,_L_KZ_DD_MSD,,U,,,12.8
2010,PT,_L_KZ_DD_MSD,,R,,,13.4
2010,PT,_L_KZ_DD_MSD,,,,KZAKM,8.1
2010,PT,_L_KZ_DD_MSD,,,,KZAKT,36.2
2010,PT,_L_KZ_DD_MSD,,,,KZALM,10.8
2010,PT,_L_KZ_DD_MSD,,,,KZATY,18.4
2010,PT,_L_KZ_DD_MSD,,,,KZZAP,9.8
2010,PT,_L_KZ_DD_MSD,,,,KZZHA,16.2
2010,PT,_L_KZ_DD_MSD,,,,KZKAR,4.8
2010,PT,_L_KZ_DD_MSD,,,,KZKUS,12.7
2010,PT,_L_KZ_DD_MSD,,,,KZKZY,7.1
2010,PT,_L_KZ_DD_MSD,,,,KZMAN,10.2
2010,PT,_L_KZ_DD_MSD,,,,KZONT,12.1
2010,PT,_L_KZ_DD_MSD,,,,KZPAV,8.9
2010,PT,_L_KZ_DD_MSD,,,,KZSEV,10.6
2010,PT,_L_KZ_DD_MSD,,,,KZVOS,16.6
2010,PT,_L_KZ_DD_MSD,,,,KZNS,19.7
2010,PT,_L_KZ_DD_MSD,,,,KZALA,17.1
2010,PT,_L_KZ_DD_MSD,M0T5,,,,10.7
2010,PT,_L_KZ_DD_MSD,M6T11,,,,13.8
2010,PT,_L_KZ_DD_MSD,M12T23,,,,18.6
2010,PT,_L_KZ_DD_MSD,M24T35,,,,14.4
2010,PT,_L_KZ_DD_MSD,M36T47,,,,11.6
2010,PT,_L_KZ_DD_MSD,M48T59,,,,8.1
2010,PT,_L_KZ_DD_SDD,,,,,5.4
2010,PT,_L_KZ_DD_SDD,,,M,,5.5
2010,PT,_L_KZ_DD_SDD,,,F,,5.3
2010,PT,_L_KZ_DD_SDD,,U,,,5.7
2010,PT,_L_KZ_DD_SDD,,R,,,5.1
2010,PT,_L_KZ_DD_SDD,,,,KZAKM,2.8
2010,PT,_L_KZ_DD_SDD,,,,KZAKT,19.7
2010,PT,_L_KZ_DD_SDD,,,,KZALM,4.2
2010,PT,_L_KZ_DD_SDD,,,,KZATY,11.1
2010,PT,_L_KZ_DD_SDD,,,,KZZAP,1.1
2010,PT,_L_KZ_DD_SDD,,,,KZZHA,3.7
2010,PT,_L_KZ_DD_SDD,,,,KZKAR,1.5
2010,PT,_L_KZ_DD_SDD,,,,KZKUS,5.0
