Year,Units,Регион,Город,Value
2012,,,,95.9
2013,,,,99.4
2014,,,,98.7
2015,,,,99.3
2016,,,,97.0
2017,,,,98.4
2018,,,,98.3
2012,,Акмолинская,,96.4751327860937
2013,,Акмолинская,,97.44739565367368
2014,,Акмолинская,,96.29283489096571
2015,,Акмолинская,,98.89534883720933
2016,,Акмолинская,,99.18292040063257
2017,,Акмолинская,,99.97400571874188
2018,,Акмолинская,,100.0
2012,,Актюбинская,,95.22347321733196
2013,,Актюбинская,,98.86104783599087
2014,,Актюбинская,,99.54264191552326
2015,,Актюбинская,,99.87565282268093
2016,,Актюбинская,,96.51019906610962
2017,,Актюбинская,,95.59863169897379
2018,,Актюбинская,,99.5162404975812
2012,,Алматинская,,90.35001635590449
2013,,Алматинская,,98.10355849137012
2014,,Алматинская,,98.20426487093155
2015,,Алматинская,,98.27365728900257
2016,,Алматинская,,94.75014037057831
2017,,Алматинская,,96.97042848521423
2018,,Алматинская,,96.5090484530064
2012,,Атырауская,,94.23604757548031
2013,,Атырауская,,100.0
2014,,Атырауская,,99.68793342579752
2015,,Атырауская,,99.93508601103537
2016,,Атырауская,,95.1338199513382
2017,,Атырауская,,98.74315178859169
2018,,Атырауская,,99.16253101736973
2012,,Западно-Казахстанская,,94.43736730360935
2013,,Западно-Казахстанская,,100.0
2014,,Западно-Казахстанская,,100.0
2015,,Западно-Казахстанская,,100.0
2016,,Западно-Казахстанская,,98.34446703456287
2017,,Западно-Казахстанская,,98.61916597624966
2018,,Западно-Казахстанская,,100.0
2012,,Жамбылская,,95.58349451966473
2013,,Жамбылская,,99.91336365605369
2014,,Жамбылская,,99.8057498057498
2015,,Жамбылская,,99.82366425674485
2016,,Жамбылская,,95.93926553672316
2017,,Жамбылская,,98.46333723066644
2018,,Жамбылская,,97.84304726938964
2012,,Карагандинская,,97.95511221945135
2013,,Карагандинская,,99.67139042924627
2014,,Карагандинская,,98.843590748726
2015,,Карагандинская,,99.871912168344
2016,,Карагандинская,,98.94218493525442
2017,,Карагандинская,,99.34362249423452
2018,,Карагандинская,,98.91229281767956
2012,,Костанайская,,96.99453551912569
2013,,Костанайская,,97.84366576819409
2014,,Костанайская,,96.10726643598616
2015,,Костанайская,,98.63128491620114
2016,,Костанайская,,97.4097547533756
2017,,Костанайская,,98.56877816061491
2018,,Костанайская,,98.46072186836516
2012,,Кызылординская,,91.32290184921764
2013,,Кызылординская,,100.0
2014,,Кызылординская,,100.0
2015,,Кызылординская,,100.0
2016,,Кызылординская,,97.51927589674824
2017,,Кызылординская,,99.52365830422356
2018,,Кызылординская,,98.67077322094343
2012,,Мангистауская,,92.20956719817768
2013,,Мангистауская,,98.34765366820886
2014,,Мангистауская,,92.8436911487759
2015,,Мангистауская,,96.22969837587007
2016,,Мангистауская,,90.44927945747385
2017,,Мангистауская,,96.15595826468972
2018,,Мангистауская,,97.315082916557
2012,,Южно-Казахстанская,,96.68207778079956
2013,,Южно-Казахстанская,,99.5372249736137
2014,,Южно-Казахстанская,,99.51633207447162
2015,,Южно-Казахстанская,,99.72443539208052
2016,,Южно-Казахстанская,,97.02285714285715
2017,,Южно-Казахстанская,,97.66528817463222
2012,,Павлодарская,,99.20306024864522
2013,,Павлодарская,,100.0
2014,,Павлодарская,,99.80793854033293
2015,,Павлодарская,,100.0
2016,,Павлодарская,,100.0
2017,,Павлодарская,,100.0
2018,,Павлодарская,,100.0
2012,,Северо-Казахстанская,,99.57446808510642
2013,,Северо-Казахстанская,,99.76896418944936
2014,,Северо-Казахстанская,,99.87442444537464
2015,,Северо-Казахстанская,,99.75688816855755
2016,,Северо-Казахстанская,,98.43180160466812
2017,,Северо-Казахстанская,,98.88849049838652
2018,,Северо-Казахстанская,,98.92665474060823
2018,,,,96.74010636093651
2012,,Восточно-Казахстанская,,96.9377675337504
2013,,Восточно-Казахстанская,,99.64774140074594
2014,,Восточно-Казахстанская,,99.56248811108999
2015,,Восточно-Казахстанская,,97.26755914175683
2016,,Восточно-Казахстанская,,98.77145438121048
2017,,Восточно-Казахстанская,,99.72003499562555
2018,,Восточно-Казахстанская,,99.09847434119278
2012,,,,95.9767545820295
2013,,,,100.0
2014,,,,100.0
2015,,,,100.0
2016,,,,97.5470621791215
2017,,,,99.87110079917505
2018,,,,97.50346740638004
2012,,,,98.9916813713133
2013,,,,100.0
2014,,,,96.203953279425
2015,,,,100.0
2016,,,,96.4899316460373
2017,,,,98.74853996329053
2018,,,,98.13805631244324
2018,,,г. Шымкент,99.06481780070943
2017,,,,100.0
2018,,,,100.0
2017,,,,100.0
2018,,,,100.0
