Year,Units,Регионы,Местность,Пол,Образование,Брачное состояние,гражданство,GeoCode,Value
2010,на 100 000 населения,,,,,,,,22.26
2011,на 100 000 населения,,,,,,,,20.8
2012,на 100 000 населения,,,,,,,,19.68
2013,на 100 000 населения,,,,,,,,20.67
2014,на 100 000 населения,,,,,,,,18.1
2015,на 100 000 населения,,,,,,,,16.52
2016,на 100 000 населения,,,,,,,,14.47
2017,на 100 000 населения,,,,,,,,14.77
2018,на 100 000 населения,,,,,,,,13.65
2010,на 100 000 населения,Акмолинская,,,,,,KZ03,44.13
2011,на 100 000 населения,Акмолинская,,,,,,KZ03,34.96
2012,на 100 000 населения,Акмолинская,,,,,,KZ03,35.24
2013,на 100 000 населения,Акмолинская,,,,,,KZ03,37.05
2014,на 100 000 населения,Акмолинская,,,,,,KZ03,36.54
2015,на 100 000 населения,Акмолинская,,,,,,KZ03,33.9
2016,на 100 000 населения,Акмолинская,,,,,,KZ03,27.18
2017,на 100 000 населения,Акмолинская,,,,,,KZ03,34.34
2018,на 100 000 населения,Акмолинская,,,,,,KZ03,25.58
2010,на 100 000 населения,Актюбинская,,,,,,KZ04,18.56
2011,на 100 000 населения,Актюбинская,,,,,,KZ04,17.39
2012,на 100 000 населения,Актюбинская,,,,,,KZ04,21.49
2013,на 100 000 населения,Актюбинская,,,,,,KZ04,20.94
2014,на 100 000 населения,Актюбинская,,,,,,KZ04,18.14
2015,на 100 000 населения,Актюбинская,,,,,,KZ04,20.39
2016,на 100 000 населения,Актюбинская,,,,,,KZ04,17.73
2017,на 100 000 населения,Актюбинская,,,,,,KZ04,14.91
2018,на 100 000 населения,Актюбинская,,,,,,KZ04,14.94
2010,на 100 000 населения,Алматинская,,,,,,KZ01,21.52
2011,на 100 000 населения,Алматинская,,,,,,KZ01,20.47
2012,на 100 000 населения,Алматинская,,,,,,KZ01,21.11
2013,на 100 000 населения,Алматинская,,,,,,KZ01,22.28
2014,на 100 000 населения,Алматинская,,,,,,KZ01,21.44
2015,на 100 000 населения,Алматинская,,,,,,KZ01,17.37
2016,на 100 000 населения,Алматинская,,,,,,KZ01,16.54
2017,на 100 000 населения,Алматинская,,,,,,KZ01,18.9
2018,на 100 000 населения,Алматинская,,,,,,KZ01,15.19
2010,на 100 000 населения,Атырауская,,,,,,KZ06,17.66
2011,на 100 000 населения,Атырауская,,,,,,KZ06,13.4
2012,на 100 000 населения,Атырауская,,,,,,KZ06,17.48
2013,на 100 000 населения,Атырауская,,,,,,KZ06,19.77
2014,на 100 000 населения,Атырауская,,,,,,KZ06,16.01
2015,на 100 000 населения,Атырауская,,,,,,KZ06,18.37
2016,на 100 000 населения,Атырауская,,,,,,KZ06,13.98
2017,на 100 000 населения,Атырауская,,,,,,KZ06,13.03
2018,на 100 000 населения,Атырауская,,,,,,KZ06,10.68
2010,на 100 000 населения,Западно-Казахстанская,,,,,,KZ07,28.54
2011,на 100 000 населения,Западно-Казахстанская,,,,,,KZ07,33.75
2012,на 100 000 населения,Западно-Казахстанская,,,,,,KZ07,32.19
