Year,UNIT_MEASURE,REF_AREA,Value
2010,TH_TNG,,428.8
2010,TH_TNG,KZAKM,499.9
2010,TH_TNG,KZAKT,478.3
2010,TH_TNG,KZALM,387.2
2010,TH_TNG,KZATY,866.7
2010,TH_TNG,KZZAP,345.9
2010,TH_TNG,KZZHA,233.6
2010,TH_TNG,KZKAR,463.5
2010,TH_TNG,KZKUS,712.3
2010,TH_TNG,KZKZY,656.3
2010,TH_TNG,KZMAN,691.7
2010,TH_TNG,KZONT,241.1
2010,TH_TNG,KZPAV,473.6
2010,TH_TNG,KZSEV,630.8
2010,TH_TNG,KZVOS,462.6
2010,TH_TNG,KZNS,453.7
2010,TH_TNG,KZALA,250.6
2011,TH_TNG,,641.6
2011,TH_TNG,KZAKM,1146.2
2011,TH_TNG,KZAKT,847.3
2011,TH_TNG,KZALM,431.0
2011,TH_TNG,KZATY,1172.5
2011,TH_TNG,KZZAP,487.3
2011,TH_TNG,KZZHA,314.5
2011,TH_TNG,KZKAR,594.5
2011,TH_TNG,KZKUS,1214.0
2011,TH_TNG,KZKZY,646.7
2011,TH_TNG,KZMAN,1184.2
2011,TH_TNG,KZONT,306.5
2011,TH_TNG,KZPAV,605.0
2011,TH_TNG,KZSEV,1337.1
2011,TH_TNG,KZVOS,562.7
2011,TH_TNG,KZNS,1145.3
2011,TH_TNG,KZALA,363.7
2012,TH_TNG,,612.2
2012,TH_TNG,KZAKM,682.4
2012,TH_TNG,KZAKT,1035.1
2012,TH_TNG,KZALM,444.3
2012,TH_TNG,KZATY,2271.6
2012,TH_TNG,KZZAP,528.9
2012,TH_TNG,KZZHA,348.1
2012,TH_TNG,KZKAR,827.7
2012,TH_TNG,KZKUS,615.7
2012,TH_TNG,KZKZY,1007.7
2012,TH_TNG,KZMAN,3586.9
2012,TH_TNG,KZONT,379.2
2012,TH_TNG,KZPAV,594.6
2012,TH_TNG,KZSEV,1200.6
2012,TH_TNG,KZVOS,903.5
2012,TH_TNG,KZNS,1044.9
2012,TH_TNG,KZALA,147.7
2013,TH_TNG,,781.9
2013,TH_TNG,KZAKM,1018.0
2013,TH_TNG,KZAKT,1465.2
2013,TH_TNG,KZALM,612.3
2013,TH_TNG,KZATY,4017.8
2013,TH_TNG,KZZAP,633.0
2013,TH_TNG,KZZHA,421.3
2013,TH_TNG,KZKAR,1147.9
2013,TH_TNG,KZKUS,784.5
2013,TH_TNG,KZKZY,1047.8
2013,TH_TNG,KZMAN,2633.0
2013,TH_TNG,KZONT,481.6
2013,TH_TNG,KZPAV,840.7
2013,TH_TNG,KZSEV,1254.4
2013,TH_TNG,KZVOS,1078.9
2013,TH_TNG,KZNS,762.8
2013,TH_TNG,KZALA,194.3
2014,TH_TNG,,1070.2
2014,TH_TNG,KZAKM,1075.3
2014,TH_TNG,KZAKT,1910.7
2014,TH_TNG,KZALM,893.4
2014,TH_TNG,KZATY,4021.6
2014,TH_TNG,KZZAP,768.5
2014,TH_TNG,KZZHA,799.6
2014,TH_TNG,KZKAR,1569.7
2014,TH_TNG,KZKUS,886.7
2014,TH_TNG,KZKZY,1106.9
2014,TH_TNG,KZMAN,2917.5
2014,TH_TNG,KZONT,932.7
2014,TH_TNG,KZPAV,753.0
2014,TH_TNG,KZSEV,1567.0
2014,TH_TNG,KZVOS,1317.7
2014,TH_TNG,KZNS,648.8
2014,TH_TNG,KZALA,2416.8
2015,TH_TNG,,1242.3
2015,TH_TNG,KZAKM,1216.0
2015,TH_TNG,KZAKT,1732.3
2015,TH_TNG,KZALM,1088.2
2015,TH_TNG,KZATY,5158.1
2015,TH_TNG,KZZAP,831.9
2015,TH_TNG,KZZHA,824.5
2015,TH_TNG,KZKAR,1949.0
2015,TH_TNG,KZKUS,979.5
2015,TH_TNG,KZKZY,1394.6
2015,TH_TNG,KZMAN,3033.3
2015,TH_TNG,KZONT,2608.5
2015,TH_TNG,KZPAV,884.5
2015,TH_TNG,KZSEV,1709.7
2015,TH_TNG,KZVOS,1733.9
2015,TH_TNG,KZNS,1533.5
2015,TH_TNG,KZALA,2051.0
2016,TH_TNG,,1401.9
2016,TH_TNG,KZAKM,1365.9
2016,TH_TNG,KZAKT,1964.8
2016,TH_TNG,KZALM,1135.9
2016,TH_TNG,KZATY,5338.7
2016,TH_TNG,KZZAP,993.5
2016,TH_TNG,KZZHA,925.6
2016,TH_TNG,KZKAR,2176.8
2016,TH_TNG,KZKUS,1080.3
2016,TH_TNG,KZKZY,1174.7
2016,TH_TNG,KZMAN,3547.7
2016,TH_TNG,KZONT,1429.5
2016,TH_TNG,KZPAV,1153.4
2016,TH_TNG,KZSEV,1939.5
2016,TH_TNG,KZVOS,2032.7
2016,TH_TNG,KZNS,1002.9
2016,TH_TNG,KZALA,2231.0
2017,TH_TNG,,1735.9
2017,TH_TNG,KZAKM,1657.0
2017,TH_TNG,KZAKT,2680.5
2017,TH_TNG,KZALM,1449.9
2017,TH_TNG,KZATY,6407.0
2017,TH_TNG,KZZAP,1106.0
2017,TH_TNG,KZZHA,957.4
2017,TH_TNG,KZKAR,3118.7
2017,TH_TNG,KZKUS,1446.5
2017,TH_TNG,KZKZY,1649.7
2017,TH_TNG,KZMAN,6516.1
2017,TH_TNG,KZONT,1551.7
2017,TH_TNG,KZPAV,1487.7
2017,TH_TNG,KZSEV,2615.7
2017,TH_TNG,KZVOS,2550.6
2017,TH_TNG,KZNS,3141.7
2017,TH_TNG,KZALA,2276.6
2018,TH_TNG,,2076.6
2018,TH_TNG,KZAKM,1921.8
2018,TH_TNG,KZAKT,4239.8
2018,TH_TNG,KZALM,2069.4
2018,TH_TNG,KZATY,7037.0
2018,TH_TNG,KZZAP,1105.7
2018,TH_TNG,KZZHA,1024.7
2018,TH_TNG,KZKAR,3347.5
2018,TH_TNG,KZKUS,1780.1
2018,TH_TNG,KZKZY,2291.8
2018,TH_TNG,KZMAN,11807.3
2018,TH_TNG,KZPAV,1757.4
2018,TH_TNG,KZSEV,2781.3
2018,TH_TNG,KZYUZ,1725.6
2018,TH_TNG,KZVOS,3077.7
2018,TH_TNG,KZNS,2134.8
2018,TH_TNG,KZALA,2245.8
2018,TH_TNG,KZSHY,2034.2
2019,TH_TNG,,2466
2019,TH_TNG,KZAKM,2323.2
2019,TH_TNG,KZAKT,4777.2
2019,TH_TNG,KZALM,2413.2
2019,TH_TNG,KZATY,8201.8
2019,TH_TNG,KZZAP,1892.5
2019,TH_TNG,KZZHA,1219.8
2019,TH_TNG,KZKAR,3303.9
2019,TH_TNG,KZKUS,1890.4
2019,TH_TNG,KZKZY,3185.8
2019,TH_TNG,KZMAN,12231.8
2019,TH_TNG,KZPAV,1926.5
2019,TH_TNG,KZSEV,3546.2
2019,TH_TNG,KZYUZ,2077.8
2019,TH_TNG,KZVOS,3487.2
2019,TH_TNG,KZNS,1907.5
2019,TH_TNG,KZALA,2354.1
2019,TH_TNG,KZSHY,2786.8
2020,TH_TNG,,3004.8
2020,TH_TNG,KZAKM,3186.1
2020,TH_TNG,KZAKT,4741.8
2020,TH_TNG,KZALM,2668.2
2020,TH_TNG,KZATY,9633.3
2020,TH_TNG,KZZAP,2368.2
2020,TH_TNG,KZZHA,1542.6
2020,TH_TNG,KZKAR,3563.1
2020,TH_TNG,KZKUS,2571.1
2020,TH_TNG,KZKZY,3636.7
2020,TH_TNG,KZMAN,7302.7
2020,TH_TNG,KZPAV,2513.3
2020,TH_TNG,KZSEV,4583.6
2020,TH_TNG,KZYUZ,2515.2
2020,TH_TNG,KZVOS,4246.1
2020,TH_TNG,KZNS,1423.9
2020,TH_TNG,KZALA,2659.1
2020,TH_TNG,KZSHY,3496.3
2021,TH_TNG,,3350.7
2021,TH_TNG,KZAKM,3700.9
2021,TH_TNG,KZAKT,6004.0
2021,TH_TNG,KZALM,2930.2
2021,TH_TNG,KZATY,11705.5
2021,TH_TNG,KZZAP,2605.3
2021,TH_TNG,KZZHA,1678.8
2021,TH_TNG,KZKAR,4156.5
2021,TH_TNG,KZKUS,2589.3
2021,TH_TNG,KZKZY,4394.5
2021,TH_TNG,KZMAN,5734.8
2021,TH_TNG,KZPAV,2984.4
2021,TH_TNG,KZSEV,5002.9
2021,TH_TNG,KZYUZ,2951.5
2021,TH_TNG,KZVOS,4978.6
2021,TH_TNG,KZNS,1952.2
2021,TH_TNG,KZALA,2346.4
2021,TH_TNG,KZSHY,4341.5
2022,TH_TNG,,4608.2
2022,TH_TNG,KZAKM,6042.6
2022,TH_TNG,KZAKT,8190.4
2022,TH_TNG,KZALM,3652.7
2022,TH_TNG,KZATY,12131.1
2022,TH_TNG,KZZAP,3544.1
2022,TH_TNG,KZZHA,2099.7
2022,TH_TNG,KZKAR,4769.9
2022,TH_TNG,KZKUS,4679.1
2022,TH_TNG,KZKZY,5328.2
2022,TH_TNG,KZMAN,9728.1
2022,TH_TNG,KZPAV,3781.5
2022,TH_TNG,KZSEV,7053.5
2022,TH_TNG,KZYUZ,3188.6
2022,TH_TNG,KZVOS,7196.9
2022,TH_TNG,KZNS,1503.6
2022,TH_TNG,KZALA,1164.1
2022,TH_TNG,KZSHY,3634.3
