Year,UNIT_MEASURE,REF_AREA,URBANISATION,SEX,Value
2010,PER_100000_POP,,,,0.78
2010,PER_100000_POP,KZAKM,,,0.14
2010,PER_100000_POP,KZAKT,,,0.39
2010,PER_100000_POP,KZALM,,,0.97
2010,PER_100000_POP,KZATY,,,0.19
2010,PER_100000_POP,KZZAP,,,0.16
2010,PER_100000_POP,KZZHA,,,0.48
2010,PER_100000_POP,KZKAR,,,0.67
2010,PER_100000_POP,KZKUS,,,0.23
2010,PER_100000_POP,KZKZY,,,2.45
2010,PER_100000_POP,KZMAN,,,0.39
2010,PER_100000_POP,KZONT,,,1.97
2010,PER_100000_POP,KZPAV,,,0.4
2010,PER_100000_POP,KZSEV,,,0.17
2010,PER_100000_POP,KZVOS,,,0.57
2010,PER_100000_POP,KZNS,,,0.45
2010,PER_100000_POP,KZALA,,,0.21
2010,PER_100000_POP,,U,,0.63
2010,PER_100000_POP,KZAKM,U,,0.0
2010,PER_100000_POP,KZAKT,U,,0.42
2010,PER_100000_POP,KZALM,U,,0.23
2010,PER_100000_POP,KZATY,U,,0.4
2010,PER_100000_POP,KZZAP,U,,0.0
2010,PER_100000_POP,KZZHA,U,,0.47
2010,PER_100000_POP,KZKAR,U,,0.57
2010,PER_100000_POP,KZKUS,U,,0.0
2010,PER_100000_POP,KZKZY,U,,1.02
2010,PER_100000_POP,KZMAN,U,,0.73
2010,PER_100000_POP,KZONT,U,,2.5
2010,PER_100000_POP,KZPAV,U,,0.39
2010,PER_100000_POP,KZSEV,U,,0.0
2010,PER_100000_POP,KZVOS,U,,0.74
2010,PER_100000_POP,KZNS,U,,0.45
2010,PER_100000_POP,KZALA,U,,0.21
2010,PER_100000_POP,,R,,0.96
2010,PER_100000_POP,KZAKM,R,,0.26
2010,PER_100000_POP,KZAKT,R,,0.33
2010,PER_100000_POP,KZALM,R,,1.2
2010,PER_100000_POP,KZATY,R,,0.0
2010,PER_100000_POP,KZZAP,R,,0.31
2010,PER_100000_POP,KZZHA,R,,0.48
2010,PER_100000_POP,KZKAR,R,,1.01
2010,PER_100000_POP,KZKUS,R,,0.45
2010,PER_100000_POP,KZKZY,R,,3.49
2010,PER_100000_POP,KZMAN,R,,0.0
2010,PER_100000_POP,KZONT,R,,1.62
2010,PER_100000_POP,KZPAV,R,,0.43
2010,PER_100000_POP,KZSEV,R,,0.28
2010,PER_100000_POP,KZVOS,R,,0.34
2010,PER_100000_POP,,,M,0.92
2010,PER_100000_POP,KZAKM,,M,0.28
2010,PER_100000_POP,KZAKT,,M,0.54
2010,PER_100000_POP,KZALM,,M,0.88
2010,PER_100000_POP,KZATY,,M,0.0
2010,PER_100000_POP,KZZAP,,M,0.0
2010,PER_100000_POP,KZZHA,,M,0.59
2010,PER_100000_POP,KZKAR,,M,1.1
2010,PER_100000_POP,KZKUS,,M,0.24
2010,PER_100000_POP,KZKZY,,M,2.31
2010,PER_100000_POP,KZMAN,,M,0.39
