Year,REF_AREA,Value
2010,,666.0
2010,KZAKM,403.0
2010,KZAKT,151.0
2010,KZALM,216.0
2010,KZATY,741.0
2010,KZZAP,488.0
2010,KZZHA,183.0
2010,KZKAR,482.0
2010,KZKUS,231.0
2010,KZKZY,78.0
2010,KZMAN,728.0
2010,KZONT,113.0
2010,KZPAV,169.0
2010,KZSEV,123.0
2010,KZVOS,525.0
2010,KZNS,1647.0
2010,KZALA,3973.0
2011,,694.0
2011,KZAKM,679.0
2011,KZAKT,146.0
2011,KZALM,257.0
2011,KZATY,785.0
2011,KZZAP,469.0
2011,KZZHA,88.0
2011,KZKAR,409.0
2011,KZKUS,152.0
2011,KZKZY,79.0
2011,KZMAN,768.0
2011,KZONT,177.0
2011,KZPAV,260.0
2011,KZSEV,85.0
2011,KZVOS,521.0
2011,KZNS,1714.0
2011,KZALA,4031.0
2012,,611.0
2012,KZAKM,722.0
2012,KZAKT,115.0
2012,KZALM,109.0
2012,KZATY,739.0
2012,KZZAP,179.0
2012,KZZHA,156.0
2012,KZKAR,604.0
2012,KZKUS,124.0
2012,KZKZY,76.0
2012,KZMAN,665.0
2012,KZONT,166.0
2012,KZPAV,231.0
2012,KZSEV,206.0
2012,KZVOS,489.0
2012,KZNS,3111.0
2012,KZALA,2472.0
2013,,737.0
2013,KZAKM,698.0
2013,KZAKT,162.0
2013,KZALM,211.0
2013,KZATY,531.0
2013,KZZAP,391.0
2013,KZZHA,142.0
2013,KZKAR,398.0
2013,KZKUS,187.0
2013,KZKZY,135.0
2013,KZMAN,786.0
2013,KZONT,286.0
2013,KZPAV,439.0
2013,KZSEV,226.0
2013,KZVOS,604.0
2013,KZNS,2044.0
2013,KZALA,3703.0
2014,,799.0
2014,KZAKM,462.0
2014,KZAKT,200.0
2014,KZALM,213.0
2014,KZATY,484.0
2014,KZZAP,159.0
2014,KZZHA,161.0
2014,KZKAR,569.0
2014,KZKUS,200.0
2014,KZKZY,171.0
2014,KZMAN,782.0
2014,KZONT,245.0
2014,KZPAV,388.0
2014,KZSEV,214.0
2014,KZVOS,560.0
2014,KZNS,2557.0
2014,KZALA,4556.0
2015,,778.0
2015,KZAKM,522.0
2015,KZAKT,213.0
2015,KZALM,333.0
2015,KZATY,530.0
2015,KZZAP,370.0
2015,KZZHA,195.0
2015,KZKAR,616.0
2015,KZKUS,225.0
2015,KZKZY,111.0
2015,KZMAN,850.0
2015,KZONT,232.0
2015,KZPAV,337.0
2015,KZSEV,158.0
2015,KZVOS,612.0
2015,KZNS,2475.0
2015,KZALA,3823.0
2016,,695.0
2016,KZAKM,514.0
2016,KZAKT,200.0
2016,KZALM,261.0
2016,KZATY,442.0
2016,KZZAP,614.0
2016,KZZHA,180.0
2016,KZKAR,386.0
2016,KZKUS,205.0
2016,KZKZY,118.0
2016,KZMAN,892.0
2016,KZONT,185.0
2016,KZPAV,421.0
2016,KZSEV,116.0
2016,KZVOS,604.0
2016,KZNS,2191.0
2016,KZALA,3275.0
2017,,668.0
2017,KZAKM,562.0
2017,KZAKT,201.0
2017,KZALM,220.0
2017,KZATY,504.0
2017,KZZAP,324.0
2017,KZZHA,181.0
2017,KZKAR,490.0
2017,KZKUS,197.0
2017,KZKZY,114.0
2017,KZMAN,880.0
2017,KZONT,178.0
2017,KZPAV,337.0
2017,KZSEV,76.0
2017,KZVOS,604.0
2017,KZNS,2007.0
2017,KZALA,3099.0
2018,,668.0
2018,KZAKM,507.0
2018,KZAKT,191.0
2018,KZALM,254.0
2018,KZATY,605.0
2018,KZZAP,429.0
2018,KZZHA,191.0
2018,KZKAR,475.0
2018,KZKUS,214.0
2018,KZKZY,101.0
2018,KZMAN,854.0
2018,KZPAV,330.0
2018,KZSEV,70.0
2018,KZYUZ,42.0
2018,KZVOS,642.0
2018,KZNS,1777.0
2018,KZALA,3235.0
2018,KZSHY,229.0
2019,,638.0
2019,KZAKM,537.0
2019,KZAKT,222.0
2019,KZALM,229.0
2019,KZATY,594.0
2019,KZZAP,388.0
2019,KZZHA,220.0
2019,KZKAR,487.0
2019,KZKUS,205.0
2019,KZKZY,76.0
2019,KZMAN,857.0
2019,KZPAV,458.0
2019,KZSEV,71.0
2019,KZYUZ,38.0
2019,KZVOS,581.0
2019,KZNS,1688.0
2019,KZALA,2843.0
2019,KZSHY,236.0
2020,,690.0
2020,KZAKM,531.0
2020,KZAKT,216.0
