Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,млн.долл.США,Данные по Казахстану как получателю,58.1
2010,млн.долл.США,Данные по Казахстану как обязательства,184.5
2011,млн.долл.США,Данные по Казахстану как получателю,21.3
2011,млн.долл.США,Данные по Казахстану как обязательства,13.7
2012,млн.долл.США,Данные по Казахстану как получателю,34.4
2012,млн.долл.США,Данные по Казахстану как обязательства,37.2
2013,млн.долл.США,Данные по Казахстану как получателю,46.0
2013,млн.долл.США,Данные по Казахстану как донору,0.07
2013,млн.долл.США,Данные по Казахстану как обязательства,9.9
2014,млн.долл.США,Данные по Казахстану как получателю,23.5
2014,млн.долл.США,Данные по Казахстану как донору,0.17
2014,млн.долл.США,Данные по Казахстану как обязательства,46.6
2015,млн.долл.США,Данные по Казахстану как получателю,16.4
2015,млн.долл.США,Данные по Казахстану как донору,0.71
2015,млн.долл.США,Данные по Казахстану как обязательства,16.4
2016,млн.долл.США,Данные по Казахстану как получателю,35.2
2016,млн.долл.США,Данные по Казахстану как донору,1.92
2016,млн.долл.США,Данные по Казахстану как обязательства,5.7
2017,млн.долл.США,Данные по Казахстану как получателю,8.1
2017,млн.долл.США,Данные по Казахстану как донору,0.13
2017,млн.долл.США,Данные по Казахстану как обязательства,18.2
2018,млн.долл.США,Данные по Казахстану как получателю,8.4
2018,млн.долл.США,Данные по Казахстану как донору,4.48
2018,млн.долл.США,Данные по Казахстану как обязательства,13.5
