Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,млн.долл.США,Казахстан-получатель,20.900557
2011,млн.долл.США,Казахстан-получатель,4.356568
2012,млн.долл.США,Казахстан-получатель,0.906232
2013,млн.долл.США,Казахстан-получатель,0.166397
2013,млн.долл.США,Казахстан-донор,0.003803
2014,млн.долл.США,Казахстан-получатель,0.022668
2014,млн.долл.США,Казахстан-донор,0.006619
2015,млн.долл.США,Казахстан-получатель,0.167596
2015,млн.долл.США,Казахстан-донор,0.00729
2016,млн.долл.США,Казахстан-получатель,0.219449
2016,млн.долл.США,Казахстан-донор,0.010404
2017,млн.долл.США,Казахстан-получатель,0.712969
2017,млн.долл.США,Казахстан-донор,0.003098
