Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,млн.долл.США,Казахстан-донор,3.1845369999999997
2011,млн.долл.США,Казахстан-донор,3.719071
2012,млн.долл.США,Казахстан-донор,3.063886
2013,млн.долл.США,Казахстан-донор,3.5769839999999995
2014,млн.долл.США,Казахстан-донор,2.545952
2015,млн.долл.США,Казахстан-донор,2.946629
2016,млн.долл.США,Казахстан-донор,3.563592
2016,млн.долл.США,Казахстан-получатель,1.91
2017,млн.долл.США,Казахстан-донор,4.701934
2017,млн.долл.США,Казахстан-получатель,0.049169
