Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,M_USD,Қазақстан-алушы,1160.0
2011,M_USD,Қазақстан-алушы,1102.9
2012,M_USD,Қазақстан-алушы,831.7
2013,M_USD,Қазақстан-алушы,905.9
2013,M_USD,Қазақстан-донор,0.07
2014,M_USD,Қазақстан-алушы,1208.4
2014,M_USD,Қазақстан-донор,0.17
2015,M_USD,Қазақстан-алушы,619.4
2015,M_USD,Қазақстан-донор,0.69
2016,M_USD,Қазақстан-алушы,1465.6
2016,M_USD,Қазақстан-донор,1.84
2017,M_USD,Қазақстан-алушы,409.1
2017,M_USD,Қазақстан-донор,0.11
2018,M_USD,Қазақстан-алушы,299.5
2018,M_USD,Қазақстан-донор,3.53
