Year,UNIT_MEASURE,SERIES,Өңірлер,GeoCode,Value
2010,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,,,1036774219.0
2011,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,,,1068226069.0
2012,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,,,1178397242.0
2013,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,,,1079560956.0
2014,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,,,1266723255.0
2015,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,,,1062565765.0
2016,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,,,1098257401.0
2017,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,,,1319919996.0
2018,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,,,1345936512.0
2010,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Ақмола,KZAKM,47296971.0
2011,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Ақмола,KZAKM,57739832.0
2012,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Ақмола,KZAKM,59799493.0
2013,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Ақмола,KZAKM,47226460.0
2014,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Ақмола,KZAKM,42151668.0
2015,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Ақмола,KZAKM,36150293.0
2016,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Ақмола,KZAKM,32312951.0
2017,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Ақмола,KZAKM,66853652.0
2018,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Ақмола,KZAKM,46583558.0
2010,мың теңге,мемлекеттік кәсіпорындар мен ұйымдар бойынша,Ақтөбе,KZAKT,59033367.0
