Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,млн АҚШ доллары,Алушы ретінде Қазақстан бойынша деректер,20.900557
2011,млн АҚШ доллары,Алушы ретінде Қазақстан бойынша деректер,4.356568
2012,млн АҚШ доллары,Алушы ретінде Қазақстан бойынша деректер,0.906232
2013,млн АҚШ доллары,Алушы ретінде Қазақстан бойынша деректер,0.166397
2013,млн АҚШ доллары,Донор ретінде Қазақстан бойынша деректер,0.003803
2014,млн АҚШ доллары,Алушы ретінде Қазақстан бойынша деректер,0.022668
2014,млн АҚШ доллары,Донор ретінде Қазақстан бойынша деректер,0.006619
2015,млн АҚШ доллары,Алушы ретінде Қазақстан бойынша деректер,0.167596
2015,млн АҚШ доллары,Донор ретінде Қазақстан бойынша деректер,0.00729
2016,млн АҚШ доллары,Алушы ретінде Қазақстан бойынша деректер,0.219449
2016,млн АҚШ доллары,Донор ретінде Қазақстан бойынша деректер,0.010404
2017,млн АҚШ доллары,Алушы ретінде Қазақстан бойынша деректер,0.712969
2017,млн АҚШ доллары,Донор ретінде Қазақстан бойынша деректер,0.003098
