Year,UNIT_MEASURE,SERIES,URBANISATION,REF_AREA,GeoCode,Value
2015,PT,SE_ACS_H2O,,,,100.0
2016,PT,SE_ACS_H2O,,,,100.0
2017,PT,SE_ACS_H2O,,,,100.0
2018,PT,SE_ACS_H2O,,,,100.0
2019,PT,SE_ACS_INTNT,,,,94.06596377399296
2019,PT,SE_ACS_INTNT,,KZAKM,KZAKM,100.0
2019,PT,SE_ACS_INTNT,,KZAKT,KZAKT,97.1291866028708
2019,PT,SE_ACS_INTNT,,KZALM,KZALM,91.78255372945638
2019,PT,SE_ACS_INTNT,,KZATY,KZATY,93.71980676328504
2019,PT,SE_ACS_INTNT,,KZZAP,KZZAP,86.92307692307692
2019,PT,SE_ACS_INTNT,,KZZHA,KZZHA,99.78308026030368
2019,PT,SE_ACS_INTNT,,KZKAR,KZKAR,97.39292364990688
2019,PT,SE_ACS_INTNT,,KZKUS,KZKUS,91.47286821705426
2019,PT,SE_ACS_INTNT,,KZKZY,KZKZY,98.08917197452227
2019,PT,SE_ACS_INTNT,,KZMAN,KZMAN,100.0
2019,PT,SE_ACS_INTNT,,KZPAV,KZPAV,99.45652173913044
2019,PT,SE_ACS_INTNT,,KZSEV,KZSEV,90.74074074074076
2019,PT,SE_ACS_INTNT,,KZYUZ,KZYUZ,83.04347826086956
2019,PT,SE_ACS_INTNT,,KZVOS,KZVOS,99.11634756995582
2019,PT,SE_ACS_INTNT,,KZNS,KZNS,94.91525423728814
2019,PT,SE_ACS_INTNT,,KZALA,KZALA,98.6206896551724
2019,PT,SE_ACS_INTNT,,KZSHY,KZSHY,91.90751445086704
2019,PT,SE_ACS_INTNT,U,,,96.68717463322292
2019,PT,SE_ACS_INTNT,U,KZAKM,KZAKM,100.0
2019,PT,SE_ACS_INTNT,U,KZAKT,KZAKT,97.77777777777776
2019,PT,SE_ACS_INTNT,U,KZALM,KZALM,96.3963963963964
2019,PT,SE_ACS_INTNT,U,KZATY,KZATY,96.05263157894736
2019,PT,SE_ACS_INTNT,U,KZZAP,KZZAP,93.24324324324324
2019,PT,SE_ACS_INTNT,U,KZZHA,KZZHA,99.05660377358492
