Year,Value,SERIES,UNIT_MEASURE
2010,0.48,Уровень производственного травматизма,на 1000 работников
2010,0.08,Уровень производственного травматизма со смертельным исходом,на 1000 работников
2011,0.47,Уровень производственного травматизма,на 1000 работников
2011,0.07,Уровень производственного травматизма со смертельным исходом,на 1000 работников
2012,0.45,Уровень производственного травматизма,на 1000 работников
2012,0.06,Уровень производственного травматизма со смертельным исходом,на 1000 работников
2013,0.42,Уровень производственного травматизма,на 1000 работников
2013,0.06,Уровень производственного травматизма со смертельным исходом,на 1000 работников
2014,0.39,Уровень производственного травматизма,на 1000 работников
2014,0.06,Уровень производственного травматизма со смертельным исходом,на 1000 работников
2015,0.33,Уровень производственного травматизма,на 1000 работников
2015,0.05,Уровень производственного травматизма со смертельным исходом,на 1000 работников
2016,0.32,Уровень производственного травматизма,на 1000 работников
2016,0.05,Уровень производственного травматизма со смертельным исходом,на 1000 работников
2017,0.29,Уровень производственного травматизма,на 1000 работников
2017,0.04,Уровень производственного травматизма со смертельным исходом,на 1000 работников
2018,0.25,Уровень производственного травматизма,на 1000 работников
2018,0.03,Уровень производственного травматизма со смертельным исходом,на 1000 работников
2019,0.23,Уровень производственного травматизма,на 1000 работников
2019,0.03,Уровень производственного травматизма со смертельным исходом,на 1000 работников
2020,0.23,Уровень производственного травматизма,на 1000 работников
2020,0.03,Уровень производственного травматизма со смертельным исходом,на 1000 работников
2021,0.22,Уровень производственного травматизма,на 1000 работников
2021,0.03,Уровень производственного травматизма со смертельным исходом,на 1000 работников
2022,0.21,Уровень производственного травматизма,на 1000 работников
2022,0.03,Уровень производственного травматизма со смертельным исходом,на 1000 работников
2023,0.21,Уровень производственного травматизма,на 1000 работников
2023,0.04,Уровень производственного травматизма со смертельным исходом,на 1000 работников
