Year,Value,SERIES,UNIT_MEASURE
2015,7.8,умеренное и острое отсутствие продовольственной безопасности,процент
2015,1.4,острое отсутствие продовольственной безопасности,процент
2016,7.8,умеренное и острое отсутствие продовольственной безопасности,процент
2016,1.4,острое отсутствие продовольственной безопасности,процент
2017,7.8,умеренное и острое отсутствие продовольственной безопасности,процент
2017,1.4,острое отсутствие продовольственной безопасности,процент
2018,4.2,умеренное и острое отсутствие продовольственной безопасности,процент
2018,1.7,острое отсутствие продовольственной безопасности,процент
2019,5.3,умеренное и острое отсутствие продовольственной безопасности,процент
2019,1.9,острое отсутствие продовольственной безопасности,процент
2020,5.1,умеренное и острое отсутствие продовольственной безопасности,процент
2020,1.9,острое отсутствие продовольственной безопасности,процент
2021,5.2,умеренное и острое отсутствие продовольственной безопасности,процент
2021,1.9,острое отсутствие продовольственной безопасности,процент
2022,1.7,умеренное и острое отсутствие продовольственной безопасности,процент
2022,0.7,острое отсутствие продовольственной безопасности,процент
2023,2.3,умеренное и острое отсутствие продовольственной безопасности,процент
2023,2.4,острое отсутствие продовольственной безопасности,процент
