Year,Value,SERIES,UNIT_MEASURE
2010,10.9,развивающихся стран,процент
2010,9.2,наименее развитых стран,процент
2011,11.1,развивающихся стран,процент
2011,9.2,наименее развитых стран,процент
2012,11.3,развивающихся стран,процент
2012,9.4,наименее развитых стран,процент
2013,10.2,развивающихся стран,процент
2013,8.4,наименее развитых стран,процент
2014,8.7,развивающихся стран,процент
2014,7.3,наименее развитых стран,процент
2015,8.7,развивающихся стран,процент
2015,7.2,наименее развитых стран,процент
2016,8.4,развивающихся стран,процент
2016,6.9,наименее развитых стран,процент
2017,6.7,развивающихся стран,процент
2017,5.4,наименее развитых стран,процент
2018,5.3,развивающихся стран,процент
2018,3.9,наименее развитых стран,процент
2019,6.4,развивающихся стран,процент
2019,4.0,наименее развитых стран,процент
2020,6.1,развивающихся стран,процент
2020,4.9,наименее развитых стран,процент
