Year,UNIT_MEASURE,SERIES,Regions,Value
2010,thousand of tenge,_L_KZ_010502_1A,,1249382.0
2010,thousand of tenge,_L_KZ_010502_1A,Akmola,20000.0
2010,thousand of tenge,_L_KZ_010502_1A,Aktobe,5055.0
2010,thousand of tenge,_L_KZ_010502_1A,Almaty,900.0
2010,thousand of tenge,_L_KZ_010502_1A,Atyrau,0.0
2010,thousand of tenge,_L_KZ_010502_1AKZZAP,0.0,
2010,thousand of tenge,_L_KZ_010502_1A,Zhambyl,60.8
2010,thousand of tenge,_L_KZ_010502_1A,Karagandy,11256.0
2010,thousand of tenge,_L_KZ_010502_1A,Kostanay,20900.0
2010,thousand of tenge,_L_KZ_010502_1A,Kyzylorda,4400.0
2010,thousand of tenge,_L_KZ_010502_1A,Mangistau,44918.2
2010,thousand of tenge,_L_KZ_010502_1A,Pavlodar,75492.0
2010,thousand of tenge,_L_KZ_010502_1A,Soltustik Kazakhstan,0.0
2010,thousand of tenge,_L_KZ_010502_1A,Turkistan,61300.0
2010,thousand of tenge,_L_KZ_010502_1A,Shygys Kazakhstan,1005100.0
2010,thousand of tenge,_L_KZ_010502_1A,Nur-Sultan city,0.0
2010,thousand of tenge,_L_KZ_010502_1A,Almaty city,0.0
2010,thousand of tenge,_L_KZ_010502_1A,Shymkent city,0.0
2010,thousand of tenge,_L_KZ_010502_1B,,8334944.7
2010,thousand of tenge,_L_KZ_010502_1B,Akmola,4504.8
2010,thousand of tenge,_L_KZ_010502_1B,Almaty,7900000.0
2010,thousand of tenge,_L_KZ_010502_1B,Atyrau,0.0
2010,thousand of tenge,_L_KZ_010502_1B,Batys Kazakhstan,382700.6
2010,thousand of tenge,_L_KZ_010502_1B,Zhambyl,0.0
2010,thousand of tenge,_L_KZ_010502_1B,Karagandy,0.0
2010,thousand of tenge,_L_KZ_010502_1B,Kostanay,0.0
2010,thousand of tenge,_L_KZ_010502_1B,Kyzylorda,0.0
2010,thousand of tenge,_L_KZ_010502_1B,Mangistau,17139.3
2010,thousand of tenge,_L_KZ_010502_1B,Pavlodar,0.0
2010,thousand of tenge,_L_KZ_010502_1B,Soltustik Kazakhstan,0.0
2010,thousand of tenge,_L_KZ_010502_1B,Turkistan,0.0
2010,thousand of tenge,_L_KZ_010502_1B,Shygys Kazakhstan,30600.0
2010,thousand of tenge,_L_KZ_010502_1B,Nur-Sultan city,0.0
2010,thousand of tenge,_L_KZ_010502_1B,Almaty city,0.0
