Year,REF_AREA,GeoCode,Value
2011,,,0.49
2012,,,0.44
2012,KZAKM,KZAKM,0.83
2012,KZAKT,KZAKT,2.63
2012,KZALM,KZALM,0.17
2012,KZATY,KZATY,1.92
2012,KZZAP,KZZAP,3.28
2012,KZZHA,KZZHA,1.0
2012,KZKAR,KZKAR,4.54
2012,KZKUS,KZKUS,0.04
2012,KZKZY,KZKZY,6.55
2012,KZMAN,KZMAN,2.65
2012,KZYUZ,KZYUZ,0.12
2012,KZPAV,KZPAV,7.39
2012,KZSEV,KZSEV,0.29
2012,KZVOS,KZVOS,0.96
2012,KZNS,KZNS,0.06
2012,KZALA,KZALA,0.23
2013,,,0.46
2013,KZAKM,KZAKM,0.51
2013,KZAKT,KZAKT,2.31
2013,KZALM,KZALM,0.2
2013,KZATY,KZATY,1.92
2013,KZZAP,KZZAP,3.31
2013,KZZHA,KZZHA,0.31
2013,KZKAR,KZKAR,3.77
2013,KZKUS,KZKUS,0.03
2013,KZKZY,KZKZY,5.69
2013,KZMAN,KZMAN,2.79
2013,KZYUZ,KZYUZ,0.11
2013,KZPAV,KZPAV,6.58
2013,KZSEV,KZSEV,0.37
2013,KZVOS,KZVOS,0.88
2013,KZNS,KZNS,0.04
2013,KZALA,KZALA,0.14
2014,,,0.42
2014,KZAKM,KZAKM,0.67
2014,KZAKT,KZAKT,3.55
2014,KZALM,KZALM,0.21
2014,KZATY,KZATY,1.53
2014,KZZAP,KZZAP,5.15
2014,KZZHA,KZZHA,1.0
2014,KZKAR,KZKAR,3.54
2014,KZKUS,KZKUS,0.01
2014,KZKZY,KZKZY,5.08
2014,KZMAN,KZMAN,4.07
2014,KZYUZ,KZYUZ,0.47
2014,KZPAV,KZPAV,6.49
2014,KZSEV,KZSEV,0.54
2014,KZVOS,KZVOS,0.82
2014,KZNS,KZNS,0.2
2014,KZALA,KZALA,0.12
2015,,,0.42
2015,KZAKM,KZAKM,0.39
2015,KZAKT,KZAKT,3.43
2015,KZALM,KZALM,0.13
2015,KZATY,KZATY,1.42
2015,KZZAP,KZZAP,5.46
2015,KZZHA,KZZHA,0.37
2015,KZKAR,KZKAR,2.7
2015,KZKUS,KZKUS,0.05
2015,KZKZY,KZKZY,5.4
2015,KZMAN,KZMAN,4.14
2015,KZYUZ,KZYUZ,0.71
2015,KZPAV,KZPAV,6.22
2015,KZSEV,KZSEV,0.42
2015,KZVOS,KZVOS,0.8
2015,KZNS,KZNS,0.1
2015,KZALA,KZALA,0.12
2016,,,0.42
2016,KZAKM,KZAKM,0.45
2016,KZAKT,KZAKT,3.41
2016,KZALM,KZALM,0.14
2016,KZATY,KZATY,1.46
2016,KZZAP,KZZAP,5.68
2016,KZZHA,KZZHA,0.24
2016,KZKAR,KZKAR,2.69
2016,KZKUS,KZKUS,0.02
2016,KZKZY,KZKZY,5.96
2016,KZMAN,KZMAN,4.15
2016,KZYUZ,KZYUZ,0.7
2016,KZPAV,KZPAV,6.31
2016,KZSEV,KZSEV,0.22
2016,KZVOS,KZVOS,0.84
2016,KZNS,KZNS,0.09
2016,KZALA,KZALA,0.11
2017,,,0.42
2017,KZAKM,KZAKM,0.43
2017,KZAKT,KZAKT,3.69
2017,KZALM,KZALM,0.15
2017,KZATY,KZATY,1.4
2017,KZZAP,KZZAP,5.54
2017,KZZHA,KZZHA,0.22
2017,KZKAR,KZKAR,2.84
2017,KZKUS,KZKUS,0.01
2017,KZKZY,KZKZY,5.96
2017,KZMAN,KZMAN,4.61
2017,KZYUZ,KZYUZ,0.68
2017,KZPAV,KZPAV,6.1
2017,KZSEV,KZSEV,0.3
2017,KZVOS,KZVOS,0.83
2017,KZNS,KZNS,0.1
2017,KZALA,KZALA,0.12
2018,,,0.37
2018,KZAKM,KZAKM,0.3
2018,KZAKT,KZAKT,2.98
2018,KZALM,KZALM,0.08
2018,KZATY,KZATY,1.13
2018,KZZAP,KZZAP,6.32
2018,KZZHA,KZZHA,0.39
2018,KZKAR,KZKAR,2.4
2018,KZKUS,KZKUS,0.02
2018,KZKZY,KZKZY,5.42
2018,KZMAN,KZMAN,4.75
2018,KZYUZ,KZYUZ,0.33
2018,KZPAV,KZPAV,7.12
2018,KZSEV,KZSEV,0.06
2018,KZVOS,KZVOS,0.79
2018,KZNS,KZNS,0.07
2018,KZALA,KZALA,0.09
2019,,,0.34
2019,KZAKM,KZAKM,0.27
2019,KZAKT,KZAKT,2.99
2019,KZALM,KZALM,0.08
2019,KZATY,KZATY,0.78
2019,KZZAP,KZZAP,5.41
2019,KZZHA,KZZHA,0.34
2019,KZKAR,KZKAR,2.03
2019,KZKUS,KZKUS,0.01
2019,KZKZY,KZKZY,6.54
2019,KZMAN,KZMAN,3.64
2019,KZYUZ,KZYUZ,0.26
2019,KZPAV,KZPAV,5.26
2019,KZSEV,KZSEV,0.01
2019,KZVOS,KZVOS,1.04
2019,KZNS,KZNS,0.06
2019,KZALA,KZALA,0.11
