Year,UNIT_MEASURE,Өңірлер,Value
2012,пайыз,,1.0
2013,пайыз,,1.58
2014,пайыз,,2.21
2015,пайыз,,1.8
2016,пайыз,,2.6
2017,пайыз,,9.0
2018,пайыз,,11.51
2019,пайыз,,14.9
2019,пайыз,Ақмола,3.0
2019,пайыз,Ақтөбе,10.0
2019,пайыз,Алматы,23.3
2019,пайыз,Атырау,10.4
2019,пайыз,Батыс Қазақстан,8.6
2019,пайыз,Жамбыл,8.5
2019,пайыз,Қарағанды,17.4
2019,пайыз,Қостанай,10.3
2019,пайыз,Қызылорда,10.8
2019,пайыз,Маңғыстау,33.8
2019,пайыз,Павлодар,15.0
2019,пайыз,Солтүстік Қазақстан,10.8
2019,пайыз,Түркістан,10.1
2019,пайыз,Шығыс Қазақстан,3.3
2019,пайыз,Нұр-Сұлтан қаласы,15.9
2019,пайыз,Алматы қаласы,11.0
2019,пайыз,Шымкент қаласы,22.7
2020,пайыз,,18.3
2020,пайыз,Ақмола,15.0
2020,пайыз,Ақтөбе,10.0
2020,пайыз,Алматы,17.0
2020,пайыз,Атырау,20.0
2020,пайыз,Батыс Қазақстан,11.0
2020,пайыз,Жамбыл,13.0
2020,пайыз,Қарағанды,29.0
2020,пайыз,Қостанай,12.0
2020,пайыз,Қызылорда,18.0
2020,пайыз,Маңғыстау,35.0
2020,пайыз,Павлодар,22.0
2020,пайыз,Солтүстік Қазақстан,13.0
2020,пайыз,Түркістан,13.0
2020,пайыз,Шығыс Қазақстан,18.0
2020,пайыз,Нұр-Сұлтан қаласы,30.0
2020,пайыз,Алматы қаласы,10.0
2020,пайыз,Шымкент қаласы,25.0
